   t     nR      nF
0.000000  0.800000  0.800000
0.050000  0.808000  0.796800
0.100000  0.816419  0.793881
0.150000  0.824833  0.790966
0.200000  0.833660  0.788339
0.250000  0.842483  0.785716
0.300000  0.851713  0.783388
0.350000  0.860938  0.781065
0.400000  0.870562  0.779043
0.450000  0.880180  0.777027
0.500000  0.890188  0.775319
0.550000  0.900189  0.773616
0.600000  0.910567  0.772231
0.650000  0.920937  0.770849
0.700000  0.931670  0.769793
0.750000  0.942394  0.768741
0.800000  0.953464  0.768021
0.850000  0.964523  0.767307
0.900000  0.975908  0.766933
0.950000  0.987280  0.766563
1.000000  0.998955  0.766542
1.050000  1.010615  0.766526
1.100000  1.022550  0.766868
1.150000  1.034469  0.767214
1.200000  1.046631  0.767926
1.250000  1.058776  0.768642
1.300000  1.071126  0.769733
1.350000  1.083459  0.770828
1.400000  1.095956  0.772306
1.450000  1.108433  0.773788
1.500000  1.121030  0.775662
1.550000  1.133605  0.777540
1.600000  1.146249  0.779818
1.650000  1.158868  0.782099
1.700000  1.171500  0.784788
1.750000  1.184106  0.787480
1.800000  1.196665  0.790587
1.850000  1.209195  0.793696
1.900000  1.221611  0.797228
1.950000  1.233997  0.800762
2.000000  1.246197  0.804723
2.050000  1.258365  0.808686
2.100000  1.270271  0.813081
2.150000  1.282143  0.817476
2.200000  1.293674  0.822307
2.250000  1.305167  0.827136
2.300000  1.316235  0.832403
2.350000  1.327265  0.837668
2.400000  1.337781  0.843369
2.450000  1.348258  0.849066
2.500000  1.358131  0.855197
2.550000  1.367964  0.861322
2.600000  1.377101  0.867874
2.650000  1.386199  0.874420
2.700000  1.394509  0.881382
2.750000  1.402780  0.888336
2.800000  1.410173  0.895694
2.850000  1.417528  0.903042
2.900000  1.423917  0.910776
2.950000  1.430270  0.918498
3.000000  1.435574  0.926584
3.050000  1.440844  0.934656
3.100000  1.444989  0.943066
3.150000  1.449103  0.951459
3.200000  1.452024  0.960158
3.250000  1.454916  0.968838
3.300000  1.456557  0.977787
3.350000  1.458175  0.986716
3.400000  1.458494  0.995871
3.450000  1.458796  1.005003
3.500000  1.457765  1.014314
3.550000  1.456721  1.023601
3.600000  1.454327  1.033014
3.650000  1.451926  1.042401
3.700000  1.448170  1.051858
3.750000  1.444415  1.061286
3.800000  1.439318  1.070724
3.850000  1.434228  1.080132
3.900000  1.427825  1.089485
3.950000  1.421437  1.098807
4.000000  1.413781  1.108008
4.050000  1.406146  1.117178
4.100000  1.397304  1.126158
4.150000  1.388490  1.135106
4.200000  1.378544  1.143797
4.250000  1.368633  1.152456
4.300000  1.357679  1.160790
4.350000  1.346764  1.169094
4.400000  1.334906  1.177006
4.450000  1.323091  1.184890
4.500000  1.310443  1.192319
4.550000  1.297842  1.199722
4.600000  1.284522  1.206612
4.650000  1.271252  1.213478
4.700000  1.257384  1.219779
4.750000  1.243567  1.226058
4.800000  1.229272  1.231724
4.850000  1.215030  1.237372
4.900000  1.200431  1.242366
4.950000  1.185884  1.247347
5.000000  1.171098  1.251641
5.050000  1.156364  1.255924
5.100000  1.141504  1.259496
5.150000  1.126693  1.263061
5.200000  1.111865  1.265897
5.250000  1.097083  1.268729
5.300000  1.082384  1.270824
5.350000  1.067727  1.272918
5.400000  1.053243  1.274272
