   t     nR      nF
9.300000  0.938698  1.290413
9.350000  0.925068  1.288040
9.400000  0.912053  1.284622
9.450000  0.899073  1.281233
9.500000  0.886768  1.276863
9.550000  0.874492  1.272526
9.600000  0.862936  1.267281
9.650000  0.851404  1.262070
9.700000  0.840623  1.256028
9.750000  0.829862  1.250023
9.800000  0.819875  1.243268
9.850000  0.809902  1.236549
9.900000  0.800717  1.229164
9.950000  0.791542  1.221815
10.000000  0.783159  1.213882
10.050000  0.774784  1.205985
10.100000  0.767200  1.197585
10.150000  0.759620  1.189221
10.200000  0.752826  1.180434
10.250000  0.746034  1.171680
10.300000  0.740018  1.162580
10.350000  0.734002  1.153512
10.400000  0.728750  1.144170
10.450000  0.723497  1.134859
10.500000  0.718993  1.125342
10.550000  0.714487  1.115855
10.600000  0.710715  1.106227
10.650000  0.706941  1.096626
10.700000  0.703884  1.086944
10.750000  0.700825  1.077288
10.800000  0.698468  1.067606
10.850000  0.696107  1.057949
10.900000  0.694434  1.048316
10.950000  0.692756  1.038706
11.000000  0.691753  1.029168
11.050000  0.690744  1.019651
11.100000  0.690395  1.010248
11.150000  0.690042  1.000864
11.200000  0.690336  0.991634
11.250000  0.690624  0.982422
11.300000  0.691550  0.973398
11.350000  0.692470  0.964391
11.400000  0.694016  0.955603
11.450000  0.695556  0.946831
11.500000  0.697714  0.938308
11.550000  0.699866  0.929799
11.600000  0.702627  0.921564
11.650000  0.705382  0.913342
11.700000  0.708740  0.905419
11.750000  0.712091  0.897507
11.800000  0.716038  0.889915
11.850000  0.719979  0.882334
11.900000  0.724510  0.875090
11.950000  0.729035  0.867858
12.000000  0.734143  0.860981
12.050000  0.739246  0.854114
12.100000  0.744928  0.847618
12.150000  0.750604  0.841132
12.200000  0.756853  0.835032
12.250000  0.763095  0.828940
12.300000  0.769906  0.823249
12.350000  0.776710  0.817566
12.400000  0.784076  0.812295
12.450000  0.791435  0.807034
12.500000  0.799348  0.802196
12.550000  0.807254  0.797367
12.600000  0.815705  0.792975
12.650000  0.824149  0.788591
12.700000  0.833129  0.784654
12.750000  0.842099  0.780726
12.800000  0.851594  0.777258
12.850000  0.861078  0.773797
12.900000  0.871072  0.770808
12.950000  0.881054  0.767827
13.000000  0.891527  0.765328
13.050000  0.901988  0.762838
13.100000  0.912919  0.760842
13.150000  0.923836  0.758855
13.200000  0.935197  0.757374
13.250000  0.946542  0.755902
13.300000  0.958302  0.754950
13.350000  0.970043  0.754005
13.400000  0.982164  0.753595
13.450000  0.994265  0.753191
13.500000  1.006704  0.753335
13.550000  1.019120  0.753487
13.600000  1.031826  0.754200
13.650000  1.044508  0.754920
13.700000  1.057425  0.756216
13.750000  1.070314  0.757518
13.800000  1.083378  0.759412
13.850000  1.096411  0.761311
13.900000  1.109548  0.763815
13.950000  1.122651  0.766326
14.000000  1.135782  0.769455
14.050000  1.148874  0.772589
14.100000  1.161909  0.776356
14.150000  1.174901  0.780127
14.200000  1.187741  0.784543
14.250000  1.200537  0.788961
14.300000  1.213077  0.794036
14.350000  1.225570  0.799111
14.400000  1.237698  0.804851
14.450000  1.249774  0.810590
14.500000  1.261370  0.816999
14.550000  1.272911  0.823405
14.600000  1.283849  0.830482
14.650000  1.294730  0.837554
14.700000  1.304881  0.845293
14.750000  1.314975  0.853024
14.800000  1.324208  0.861414
14.850000  1.333384  0.869792
14.900000  1.341570  0.878812
14.950000  1.349699  0.887818
15.000000  1.356711  0.897441
15.050000  1.363668  0.907044
15.100000  1.369387  0.917232
15.150000  1.375054  0.927397
15.200000  1.379370  0.938102
15.250000  1.383639  0.948778
15.300000  1.386457  0.959941
15.350000  1.389234  0.971070
15.400000  1.390476  0.982619
15.450000  1.391685  0.994130
15.500000  1.391293  1.005983
15.550000  1.390877  1.017792
15.600000  1.388819  1.029853
15.650000  1.386746  1.041865
15.700000  1.383013  1.054029
15.750000  1.379277  1.066140
15.800000  1.373891  1.078290
15.850000  1.368512  1.090385
15.900000  1.361521  1.102400
15.950000  1.354550  1.114356
16.000000  1.346031  1.126105
16.050000  1.337544  1.137795
16.100000  1.327600  1.149149
16.150000  1.317700  1.160443
16.200000  1.306459  1.171269
16.250000  1.295271  1.182038
16.300000  1.282880  1.192210
16.350000  1.270551  1.202328
16.400000  1.257173  1.211728
16.450000  1.243864  1.221077
16.500000  1.229674  1.229595
16.550000  1.215558  1.238067
16.600000  1.200736  1.245607
16.650000  1.185990  1.253108
16.700000  1.170718  1.259591
16.750000  1.155522  1.266042
16.800000  1.139976  1.271405
16.850000  1.124506  1.276744
16.900000  1.108856  1.280943
16.950000  1.093280  1.285126
17.000000  1.077684  1.288135
17.050000  1.062158  1.291137
17.100000  1.046760  1.292950
17.150000  1.031428  1.294764
17.200000  1.016357  1.295392
17.250000  1.001346  1.296028
17.300000  0.986715  1.295497
17.350000  0.972136  1.294980
17.400000  0.958039  1.293332
17.450000  0.943988  1.291704
17.500000  0.930502  1.288991
17.550000  0.917057  1.286303
17.600000  0.904247  1.282589
17.650000  0.891470  1.278905
17.700000  0.879383  1.274261
17.750000  0.867324  1.269650
17.800000  0.855996  1.264154
17.850000  0.844690  1.258693
17.900000  0.834144  1.252425
17.950000  0.823616  1.246193
18.000000  0.813867  1.239236
18.050000  0.804132  1.232316
18.100000  0.795186  1.224754
18.150000  0.786250  1.217229
18.200000  0.778106  1.209143
18.250000  0.769970  1.201094
18.300000  0.762623  1.192566
18.350000  0.755280  1.184073
18.400000  0.748720  1.175180
18.450000  0.742162  1.166321
18.500000  0.736376  1.157136
18.550000  0.730591  1.147985
18.600000  0.725565  1.138580
18.650000  0.720537  1.129206
18.700000  0.716255  1.119646
18.750000  0.711970  1.110115
18.800000  0.708415  1.100461
18.850000  0.704857  1.090834
18.900000  0.702013  1.081144
18.950000  0.699164  1.071479
19.000000  0.697015  1.061803
19.050000  0.694861  1.052152
19.100000  0.693391  1.042540
19.150000  0.691916  1.032951
19.200000  0.691111  1.023446
19.250000  0.690301  1.013962
19.300000  0.690148  1.004605
19.350000  0.689989  0.995266
19.400000  0.690474  0.986092
19.450000  0.690954  0.976935
19.500000  0.692068  0.967977
19.550000  0.693176  0.959035
19.600000  0.694907  0.950322
19.650000  0.696634  0.941624
19.700000  0.698974  0.933182
19.750000  0.701309  0.924755
19.800000  0.704251  0.916609
19.850000  0.707188  0.908477
19.900000  0.710724  0.900649
19.950000  0.714254  0.892832
20.000000  0.718378  0.885341
20.050000  0.722496  0.877861
20.100000  0.727203  0.870725
20.150000  0.731903  0.863599
20.200000  0.737186  0.856833
20.250000  0.742463  0.850077
20.300000  0.748317  0.843697
20.350000  0.754165  0.837327
20.400000  0.760585  0.831347
20.450000  0.766999  0.825376
20.500000  0.773979  0.819808
20.550000  0.780952  0.814249
20.600000  0.788485  0.809106
20.650000  0.796011  0.803972
20.700000  0.804089  0.799266
20.750000  0.812160  0.794569
20.800000  0.820773  0.790311
20.850000  0.829379  0.786062
20.900000  0.838517  0.782264
20.950000  0.847646  0.778474
21.000000  0.857295  0.775148
21.050000  0.866933  0.771829
21.100000  0.877075  0.768985
21.150000  0.887206  0.766150
21.200000  0.897823  0.763800
21.250000  0.908426  0.761459
21.300000  0.919493  0.759617
21.350000  0.930544  0.757782
21.400000  0.942032  0.756459
21.450000  0.953503  0.755143
21.500000  0.965379  0.754352
21.550000  0.977236  0.753568
21.600000  0.989461  0.753323
21.650000  1.001665  0.753085
21.700000  1.014194  0.753398
21.750000  1.026699  0.753719
21.800000  1.039480  0.754605
21.850000  1.052234  0.755499
21.900000  1.065207  0.756973
21.950000  1.078151  0.758454
22.000000  1.091249  0.760530
22.050000  1.104315  0.762611
22.100000  1.117464  0.765303
22.150000  1.130578  0.768000
22.200000  1.143694  0.771320
22.250000  1.156771  0.774645
22.300000  1.169762  0.778606
22.350000  1.182711  0.782572
22.400000  1.195478  0.787185
22.450000  1.208199  0.791802
22.500000  1.220632  0.797076
22.550000  1.233017  0.802352
22.600000  1.245003  0.808294
22.650000  1.256936  0.814235
22.700000  1.268352  0.820846
22.750000  1.279714  0.827455
22.800000  1.290433  0.834733
22.850000  1.301096  0.842007
22.900000  1.310989  0.849945
22.950000  1.320825  0.857875
23.000000  1.329762  0.866459
23.050000  1.338641  0.875030
23.100000  1.346491  0.884238
23.150000  1.354284  0.893429
23.200000  1.360923  0.903230
23.250000  1.367508  0.913009
23.300000  1.372819  0.923362
23.350000  1.378080  0.933689
23.400000  1.381957  0.944542
23.450000  1.385789  0.955366
23.500000  1.388143  0.966657
23.550000  1.390457  0.977913
23.600000  1.391214  0.989567
23.650000  1.391940  1.001181
23.700000  1.391050  1.013111
23.750000  1.390138  1.024996
23.800000  1.387575  1.037104
23.850000  1.385001  1.049163
23.900000  1.380766  1.061340
23.950000  1.376531  1.073463
24.000000  1.370653  1.085591
24.050000  1.364788  1.097663
24.100000  1.357324  1.109616
24.150000  1.349885  1.121511
24.200000  1.340922  1.133160
24.250000  1.331994  1.144750
24.300000  1.321641  1.155963
24.350000  1.311335  1.167117
24.400000  1.299727  1.177765
24.450000  1.288174  1.188355
24.500000  1.275463  1.198312
24.550000  1.262816  1.208215
24.600000  1.249169  1.217365
24.650000  1.235593  1.226464
24.700000  1.221188  1.234701
24.750000  1.206857  1.242894
24.800000  1.191874  1.250127
24.850000  1.176968  1.257323
24.900000  1.161588  1.263478
24.950000  1.146285  1.269603
25.000000  1.130683  1.274621
25.050000  1.115158  1.279618
25.100000  1.099502  1.283463
25.150000  1.083918  1.287294
25.200000  1.068361  1.289944
25.250000  1.052873  1.292590
25.300000  1.037555  1.294045
25.350000  1.022301  1.295503
25.400000  1.007346  1.295778
25.450000  0.992448  1.296064
25.500000  0.977963  1.295191
25.550000  0.963529  1.294335
25.600000  0.949603  1.292359
25.650000  0.935722  1.290405
25.700000  0.922429  1.287382
25.750000  0.909175  1.284386
25.800000  0.896574  1.280383
25.850000  0.884004  1.276410
25.900000  0.872139  1.271499
25.950000  0.860300  1.266622
26.000000  0.849201  1.260883
26.050000  0.838124  1.255178
26.100000  0.827814  1.248692
26.150000  0.817521  1.242241
26.200000  0.808011  1.235091
26.250000  0.798513  1.227977
26.300000  0.789806  1.220245
26.350000  0.781109  1.212551
26.400000  0.773204  1.204320
26.450000  0.765305  1.196126
26.500000  0.758194  1.187477
26.550000  0.751087  1.178863
26.600000  0.744760  1.169871
26.650000  0.738434  1.160913
26.700000  0.732878  1.151651
26.750000  0.727321  1.142422
26.800000  0.722519  1.132960
26.850000  0.717716  1.123529
26.900000  0.713653  1.113931
26.950000  0.709588  1.104362
27.000000  0.706248  1.094688
27.050000  0.702904  1.085041
27.100000  0.700270  1.075346
27.150000  0.697632  1.065677
27.200000  0.695688  1.056013
27.250000  0.693740  1.046372
27.300000  0.692471  1.036785
27.350000  0.691198  1.027220
27.400000  0.690590  1.017753
