   t     nR      nF
0.000000  1.337668  1.200000
0.050000  1.324292  1.216208
0.100000  1.309036  1.231553
0.150000  1.293881  1.246776
0.200000  1.277106  1.260865
0.250000  1.260449  1.274841
0.300000  1.242464  1.287427
0.350000  1.224608  1.299913
0.400000  1.205736  1.310785
0.450000  1.187000  1.321572
0.500000  1.167566  1.330556
0.550000  1.148269  1.339474
0.600000  1.128585  1.346444
0.650000  1.109036  1.353369
0.700000  1.089395  1.358249
0.750000  1.069881  1.363106
0.800000  1.050547  1.365870
0.850000  1.031329  1.368631
0.900000  1.012529  1.369300
0.950000  0.993833  1.369986
1.000000  0.975759  1.368624
1.050000  0.957774  1.367297
1.100000  0.940580  1.364005
1.150000  0.923461  1.360763
1.200000  0.907265  1.355673
1.250000  0.891130  1.350644
1.300000  0.876018  1.343909
1.350000  0.860954  1.337245
1.400000  0.846983  1.329034
1.450000  0.833048  1.320900
1.500000  0.820250  1.311392
1.550000  0.807479  1.301963
1.600000  0.795867  1.291340
1.650000  0.784274  1.280796
1.700000  0.773845  1.269236
1.750000  0.763428  1.257754
1.800000  0.754168  1.245432
1.850000  0.744913  1.233185
1.900000  0.736797  1.220266
1.950000  0.728683  1.207419
2.000000  0.721683  1.194059
2.050000  0.714681  1.180766
2.100000  0.708764  1.167107
2.150000  0.702842  1.153511
2.200000  0.697975  1.139685
2.250000  0.693100  1.125917
2.300000  0.689247  1.112042
2.350000  0.685386  1.098219
2.400000  0.682516  1.084400
2.450000  0.679635  1.070629
2.500000  0.677715  1.056961
2.550000  0.675785  1.043335
2.600000  0.674787  1.029900
2.650000  0.673778  1.016502
2.700000  0.673675  1.003372
2.750000  0.673561  0.990274
2.800000  0.674330  0.977510
2.850000  0.675088  0.964777
2.900000  0.676708  0.952433
2.950000  0.678317  0.940116
3.000000  0.680770  0.928239
3.050000  0.683213  0.916387
3.100000  0.686483  0.905016
3.150000  0.689743  0.893666
3.200000  0.693817  0.882834
3.250000  0.697881  0.872022
3.300000  0.702748  0.861758
3.350000  0.707606  0.851512
3.400000  0.713255  0.841840
3.450000  0.718896  0.832184
3.500000  0.725320  0.823125
3.550000  0.731734  0.814081
3.600000  0.738924  0.805654
3.650000  0.746104  0.797241
3.700000  0.754052  0.789461
3.750000  0.761990  0.781694
3.800000  0.770686  0.774577
3.850000  0.779373  0.767472
3.900000  0.788809  0.761031
3.950000  0.798234  0.754602
4.000000  0.808398  0.748850
4.050000  0.818549  0.743111
4.100000  0.829425  0.738063
4.150000  0.840288  0.733028
4.200000  0.851859  0.728698
4.250000  0.863414  0.724380
4.300000  0.875656  0.720782
4.350000  0.887881  0.717197
