   t     nR      nF
0.000000  1.254189  1.200000
0.050000  1.241647  1.209151
0.100000  1.228220  1.217531
0.150000  1.214861  1.225867
0.200000  1.200780  1.233335
0.250000  1.186771  1.240764
0.300000  1.172207  1.247239
0.350000  1.157716  1.253683
0.400000  1.142838  1.259103
0.450000  1.128032  1.264498
0.500000  1.113002  1.268816
0.550000  1.098042  1.273118
0.600000  1.083012  1.276306
0.650000  1.068050  1.279484
0.700000  1.053162  1.281530
0.750000  1.038337  1.283574
0.800000  1.023717  1.284482
0.850000  1.009156  1.285396
0.900000  0.994916  1.285188
0.950000  0.980729  1.284992
1.000000  0.966966  1.283703
1.050000  0.953250  1.282430
1.100000  0.940044  1.280105
1.150000  0.926878  1.277803
1.200000  0.914295  1.274499
1.250000  0.901746  1.271222
1.300000  0.889837  1.267005
1.350000  0.877958  1.262818
1.400000  0.866763  1.257758
1.450000  0.855592  1.252731
1.500000  0.845140  1.246904
1.550000  0.834706  1.241111
1.600000  0.825014  1.234595
1.650000  0.815337  1.228114
1.700000  0.806415  1.220988
1.750000  0.797505  1.213897
1.800000  0.789357  1.206239
1.850000  0.781217  1.198617
1.900000  0.773840  1.190505
1.950000  0.766469  1.182428
2.000000  0.759858  1.173937
2.050000  0.753250  1.165480
2.100000  0.747393  1.156682
2.150000  0.741538  1.147916
2.200000  0.736425  1.138880
2.250000  0.731311  1.129875
2.300000  0.726927  1.120665
2.350000  0.722541  1.111485
2.400000  0.718871  1.102162
2.450000  0.715199  1.092866
2.500000  0.712230  1.083487
2.550000  0.709257  1.074133
2.600000  0.706972  1.064749
2.650000  0.704683  1.055389
2.700000  0.703069  1.046049
2.750000  0.701450  1.036730
2.800000  0.700492  1.027478
2.850000  0.699530  1.018245
2.900000  0.699216  1.009120
2.950000  0.698897  1.000015
3.000000  0.699215  0.991054
3.050000  0.699528  0.982111
3.100000  0.700466  0.973348
3.150000  0.701400  0.964602
3.200000  0.702949  0.956066
3.250000  0.704493  0.947546
3.300000  0.706644  0.939266
3.350000  0.708790  0.931000
3.400000  0.711535  0.922999
3.450000  0.714274  0.915011
3.500000  0.717605  0.907312
3.550000  0.720931  0.899626
3.600000  0.724842  0.892249
3.650000  0.728747  0.884884
3.700000  0.733231  0.877847
3.750000  0.737709  0.870822
3.800000  0.742760  0.864143
3.850000  0.747806  0.857474
3.900000  0.753419  0.851168
3.950000  0.759025  0.844871
4.000000  0.765193  0.838952
4.050000  0.771355  0.833043
4.100000  0.778072  0.827524
4.150000  0.784782  0.822014
4.200000  0.792040  0.816909
4.250000  0.799290  0.811813
4.300000  0.807081  0.807133
4.350000  0.814864  0.802462
4.400000  0.823178  0.798219
4.450000  0.831483  0.793985
4.500000  0.840308  0.790191
4.550000  0.849123  0.786405
4.600000  0.858445  0.783072
4.650000  0.867756  0.779747
4.700000  0.877557  0.776885
4.750000  0.887347  0.774031
4.800000  0.897608  0.771653
4.850000  0.907857  0.769283
4.900000  0.918554  0.767400
4.950000  0.929237  0.765525
5.000000  0.940342  0.764150
5.050000  0.951431  0.762782
5.100000  0.962912  0.761927
5.150000  0.974374  0.761079
5.200000  0.986192  0.760757
5.250000  0.997989  0.760442
5.300000  1.010100  0.760665
5.350000  1.022187  0.760896
5.400000  1.034541  0.761678
5.450000  1.046868  0.762467
5.500000  1.059407  0.763822
5.550000  1.071918  0.765183
5.600000  1.084577  0.767124
5.650000  1.097206  0.769070
5.700000  1.109915  0.771609
5.750000  1.122590  0.774154
5.800000  1.135268  0.777304
5.850000  1.147909  0.780458
5.900000  1.160470  0.784230
5.950000  1.172990  0.788005
6.000000  1.185337  0.792409
6.050000  1.197640  0.796815
6.100000  1.209671  0.801858
6.150000  1.221655  0.806902
6.200000  1.233261  0.812589
6.250000  1.244817  0.818275
6.300000  1.255882  0.824609
6.350000  1.266896  0.830939
6.400000  1.277301  0.837915
6.450000  1.287652  0.844886
6.500000  1.297274  0.852497
6.550000  1.306841  0.860100
6.600000  1.315557  0.868332
6.650000  1.324217  0.876552
6.700000  1.331904  0.885384
6.750000  1.339537  0.894200
6.800000  1.346076  0.903600
6.850000  1.352564  0.912982
6.900000  1.357846  0.922914
6.950000  1.363079  0.932821
7.000000  1.367003  0.943235
7.050000  1.370883  0.953620
7.100000  1.373361  0.964456
7.150000  1.375802  0.975258
7.200000  1.376765  0.986446
7.250000  1.377698  0.997596
7.300000  1.377096  1.009053
7.350000  1.376473  1.020469
7.400000  1.374279  1.032104
7.450000  1.372073  1.043693
7.500000  1.368284  1.055404
7.550000  1.364493  1.067065
7.600000  1.359133  1.078740
7.650000  1.353782  1.090362
7.700000  1.346900  1.101885
7.750000  1.340038  1.113353
7.800000  1.331710  1.124600
7.850000  1.323414  1.135791
7.900000  1.313739  1.146640
7.950000  1.304107  1.157432
8.000000  1.293208  1.167759
8.050000  1.282361  1.178031
8.100000  1.270378  1.187717
8.150000  1.258455  1.197351
8.200000  1.245543  1.206284
8.250000  1.232696  1.215170
8.300000  1.219019  1.223250
8.350000  1.205411  1.231288
8.400000  1.191139  1.238426
8.450000  1.176939  1.245527
8.500000  1.162242  1.251649
8.550000  1.147618  1.257741
8.600000  1.132663  1.262788
8.650000  1.117781  1.267814
8.700000  1.102728  1.271748
8.750000  1.087744  1.275667
8.800000  1.072742  1.278464
8.850000  1.057806  1.281254
8.900000  1.042991  1.282908
8.950000  1.028237  1.284562
9.000000  1.013731  1.285084
9.050000  0.999281  1.285613
9.100000  0.985190  1.285029
9.150000  0.971150  1.284458
9.200000  0.957565  1.282805
9.250000  0.944025  1.281172
9.300000  0.931022  1.278502
9.350000  0.918057  1.275857
9.400000  0.905697  1.272230
9.450000  0.893369  1.268630
9.500000  0.881698  1.264113
9.550000  0.870055  1.259627
9.600000  0.859109  1.254292
9.650000  0.848186  1.248990
9.700000  0.837990  1.242915
9.750000  0.827812  1.236874
9.800000  0.818381  1.230137
9.850000  0.808964  1.223434
9.900000  0.800306  1.216113
9.950000  0.791658  1.208828
10.000000  0.783774  1.201003
10.050000  0.775897  1.193212
10.100000  0.768783  1.184958
10.150000  0.761673  1.176739
10.200000  0.755321  1.168132
10.250000  0.748972  1.159557
10.300000  0.743371  1.150667
10.350000  0.737771  1.141808
10.400000  0.732909  1.132702
10.450000  0.728046  1.123626
10.500000  0.723908  1.114367
10.550000  0.719769  1.105137
10.600000  0.716341  1.095786
10.650000  0.712910  1.086461
10.700000  0.710177  1.077071
10.750000  0.707440  1.067706
10.800000  0.705387  1.058329
10.850000  0.703330  1.048975
10.900000  0.701943  1.039657
10.950000  0.700551  1.030360
11.000000  0.699816  1.021144
11.050000  0.699076  1.011948
11.100000  0.698980  1.002873
11.150000  0.698880  0.993817
11.200000  0.699412  0.984918
11.250000  0.699940  0.976036
11.300000  0.701090  0.967346
11.350000  0.702235  0.958671
11.400000  0.703992  0.950218
11.450000  0.705744  0.941780
11.500000  0.708101  0.933591
11.550000  0.710452  0.925415
11.600000  0.713400  0.917513
11.650000  0.716342  0.909625
11.700000  0.719874  0.902032
11.750000  0.723400  0.894452
11.800000  0.727509  0.887188
