   t     nR      nF
0.000000  1.200000  0.800000
0.050000  1.212000  0.806400
0.100000  1.223464  0.813677
0.150000  1.234862  0.820950
0.200000  1.245575  0.829101
0.250000  1.256218  0.837246
0.300000  1.266020  0.846263
0.350000  1.275752  0.855268
0.400000  1.284484  0.865130
0.450000  1.293146  0.874975
0.500000  1.300652  0.885650
0.550000  1.308088  0.896301
0.600000  1.314217  0.907741
0.650000  1.320279  0.919150
0.700000  1.324891  0.931292
0.750000  1.329443  0.943394
0.800000  1.332417  0.956155
0.850000  1.335338  0.968869
0.900000  1.336574  0.982147
0.950000  1.337767  0.995370
1.000000  1.337193  1.009043
1.050000  1.336588  1.022653
1.100000  1.334165  1.036580
1.150000  1.331725  1.050436
1.200000  1.327449  1.064457
1.250000  1.323170  1.078399
1.300000  1.317075  1.092337
1.350000  1.310994  1.106191
1.400000  1.303153  1.119859
1.450000  1.295344  1.133438
1.500000  1.285869  1.146639
1.550000  1.276441  1.159751
1.600000  1.265477  1.172287
1.650000  1.254576  1.184736
1.700000  1.242301  1.196416
1.750000  1.230100  1.208012
1.800000  1.216713  1.218653
1.850000  1.203411  1.229217
1.900000  1.189129  1.238656
1.950000  1.174939  1.248027
2.000000  1.159987  1.256122
2.050000  1.145133  1.264161
2.100000  1.129738  1.270800
2.150000  1.114441  1.277395
2.200000  1.098824  1.282495
2.250000  1.083303  1.287564
2.300000  1.067672  1.291075
2.350000  1.052133  1.294570
2.400000  1.036679  1.296475
2.450000  1.021311  1.298377
2.500000  1.006205  1.298688
2.550000  0.991178  1.299011
2.600000  0.976568  1.297771
2.650000  0.962028  1.296555
2.700000  0.948039  1.293833
2.750000  0.934110  1.291144
2.800000  0.920843  1.287027
2.850000  0.907627  1.282952
2.900000  0.895161  1.277546
2.950000  0.882739  1.272189
3.000000  0.871134  1.265612
3.050000  0.859565  1.259088
3.100000  0.848864  1.251466
3.150000  0.838191  1.243901
3.200000  0.828420  1.235364
3.250000  0.818671  1.226886
3.300000  0.809846  1.217567
3.350000  0.801036  1.208306
3.400000  0.793160  1.198334
3.450000  0.785294  1.188419
3.500000  0.778363  1.177921
3.550000  0.771439  1.167478
3.600000  0.765443  1.156574
3.650000  0.759451  1.145723
3.700000  0.754376  1.134526
3.750000  0.749302  1.123379
3.800000  0.745131  1.111995
3.850000  0.740959  1.100659
3.900000  0.737673  1.089186
3.950000  0.734384  1.077757
4.000000  0.731963  1.066285
4.050000  0.729537  1.054852
4.100000  0.727961  1.043461
4.150000  0.726379  1.032106
4.200000  0.725629  1.020868
4.250000  0.724872  1.009664
4.300000  0.724928  0.998645
4.350000  0.724977  0.987657
4.400000  0.725823  0.976915
4.450000  0.726661  0.966201
4.500000  0.728279  0.955787
4.550000  0.729889  0.945399
4.600000  0.732265  0.935358
4.650000  0.734631  0.925341
4.700000  0.737749  0.915713
4.750000  0.740858  0.906108
4.800000  0.744705  0.896929
4.850000  0.748543  0.887769
4.900000  0.753106  0.879070
