   t     nR      nF
0.000000  1.288207  1.200000
0.050000  1.275325  1.203458
0.100000  1.262259  1.206627
0.150000  1.249218  1.209791
0.200000  1.236052  1.212657
0.250000  1.222909  1.215519
0.300000  1.209696  1.218076
0.350000  1.196505  1.220630
0.400000  1.183297  1.222873
0.450000  1.170111  1.225115
0.500000  1.156956  1.227041
0.550000  1.143822  1.228967
0.600000  1.130766  1.230576
0.650000  1.117730  1.232185
0.700000  1.104814  1.233478
0.750000  1.091917  1.234770
0.800000  1.079179  1.235747
0.850000  1.066459  1.236726
0.900000  1.053933  1.237391
0.950000  1.041424  1.238059
1.000000  1.029141  1.238417
1.050000  1.016873  1.238778
1.100000  1.004861  1.238835
1.150000  0.992861  1.238895
1.200000  0.981142  1.238658
1.250000  0.969434  1.238425
1.300000  0.958028  1.237901
1.350000  0.946632  1.237381
1.400000  0.935557  1.236580
1.450000  0.924490  1.235783
1.500000  0.913759  1.234714
1.550000  0.903035  1.233649
1.600000  0.892660  1.232322
1.650000  0.882290  1.230999
1.700000  0.872279  1.229424
1.750000  0.862273  1.227853
1.800000  0.852632  1.226041
1.850000  0.842995  1.224235
1.900000  0.833729  1.222197
1.950000  0.824466  1.220165
2.000000  0.815577  1.217914
2.050000  0.806691  1.215668
2.100000  0.798179  1.213214
2.150000  0.789670  1.210765
2.200000  0.781536  1.208120
2.250000  0.773403  1.205481
2.300000  0.765644  1.202657
2.350000  0.757885  1.199839
2.400000  0.750498  1.196847
2.450000  0.743111  1.193861
2.500000  0.736092  1.190714
2.550000  0.729073  1.187571
2.600000  0.722417  1.184279
2.650000  0.715761  1.180991
2.700000  0.709462  1.177565
2.750000  0.703163  1.174144
2.800000  0.697217  1.170594
2.850000  0.691270  1.167050
2.900000  0.685669  1.163388
2.950000  0.680068  1.159731
3.000000  0.674807  1.155968
3.050000  0.669544  1.152208
3.100000  0.664616  1.148352
3.150000  0.659686  1.144501
3.200000  0.655083  1.140563
3.250000  0.650479  1.136629
3.300000  0.646196  1.132617
3.350000  0.641911  1.128610
3.400000  0.637940  1.124534
3.450000  0.633968  1.120463
3.500000  0.630303  1.116332
3.550000  0.626637  1.112205
3.600000  0.623272  1.108027
3.650000  0.619905  1.103852
3.700000  0.616834  1.099635
3.750000  0.613761  1.095422
3.800000  0.610977  1.091173
3.850000  0.608192  1.086929
3.900000  0.605690  1.082656
3.950000  0.603187  1.078387
4.000000  0.600962  1.074098
4.050000  0.598736  1.069812
4.100000  0.596782  1.065512
4.150000  0.594828  1.061216
4.200000  0.593141  1.056913
4.250000  0.591453  1.052613
4.300000  0.590029  1.048312
4.350000  0.588604  1.044014
4.400000  0.587439  1.039722
4.450000  0.586272  1.035432
4.500000  0.585361  1.031154
4.550000  0.584449  1.026878
4.600000  0.583790  1.022620
4.650000  0.583130  1.018363
4.700000  0.582720  1.014129
4.750000  0.582308  1.009897
4.800000  0.582143  1.005693
4.850000  0.581978  1.001490
4.900000  0.582057  0.997320
4.950000  0.582135  0.993151
5.000000  0.582455  0.989020
5.050000  0.582775  0.984890
5.100000  0.583336  0.980801
5.150000  0.583896  0.976715
5.200000  0.584695  0.972673
5.250000  0.585494  0.968633
5.300000  0.586532  0.964643
5.350000  0.587569  0.960654
5.400000  0.588844  0.956719
5.450000  0.590118  0.952785
5.500000  0.591630  0.948908
5.550000  0.593141  0.945033
5.600000  0.594890  0.941218
5.650000  0.596639  0.937405
5.700000  0.598625  0.933656
5.750000  0.600611  0.929909
5.800000  0.602835  0.926228
5.850000  0.605058  0.922549
5.900000  0.607521  0.918941
5.950000  0.609983  0.915334
6.000000  0.612685  0.911801
6.050000  0.615387  0.908270
6.100000  0.618330  0.904814
6.150000  0.621273  0.901361
6.200000  0.624458  0.897987
6.250000  0.627644  0.894615
6.300000  0.631073  0.891325
6.350000  0.634502  0.888036
6.400000  0.638177  0.884833
6.450000  0.641852  0.881632
6.500000  0.645775  0.878518
6.550000  0.649697  0.875406
6.600000  0.653869  0.872385
6.650000  0.658042  0.869365
6.700000  0.662466  0.866439
6.750000  0.666890  0.863515
6.800000  0.671568  0.860686
6.850000  0.676246  0.857860
6.900000  0.681180  0.855132
6.950000  0.686114  0.852405
7.000000  0.691307  0.849780
7.050000  0.696499  0.847157
7.100000  0.701952  0.844638
7.150000  0.707405  0.842121
7.200000  0.713120  0.839710
7.250000  0.718836  0.837301
7.300000  0.724816  0.835002
7.350000  0.730796  0.832704
7.400000  0.737042  0.830518
7.450000  0.743288  0.828335
7.500000  0.749801  0.826266
7.550000  0.756315  0.824198
7.600000  0.763098  0.822249
7.650000  0.769880  0.820301
7.700000  0.776932  0.818473
7.750000  0.783984  0.816648
7.800000  0.791307  0.814945
7.850000  0.798629  0.813244
7.900000  0.806222  0.811670
7.950000  0.813813  0.810097
8.000000  0.821676  0.808653
8.050000  0.829537  0.807211
8.100000  0.837669  0.805901
8.150000  0.845798  0.804593
8.200000  0.854196  0.803420
8.250000  0.862592  0.802248
8.300000  0.871254  0.801215
8.350000  0.879914  0.800184
8.400000  0.888836  0.799293
8.450000  0.897756  0.798405
8.500000  0.906935  0.797661
8.550000  0.916110  0.796918
8.600000  0.925539  0.796324
8.650000  0.934965  0.795731
8.700000  0.944638  0.795289
8.750000  0.954306  0.794848
8.800000  0.964215  0.794562
8.850000  0.974120  0.794278
8.900000  0.984255  0.794151
8.950000  0.994385  0.794026
9.000000  1.004737  0.794062
9.050000  1.015082  0.794100
9.100000  1.025637  0.794302
9.150000  1.036186  0.794505
9.200000  1.046930  0.794877
9.250000  1.057668  0.795250
9.300000  1.068586  0.795794
9.350000  1.079497  0.796340
9.400000  1.090571  0.797060
9.450000  1.101637  0.797782
9.500000  1.112848  0.798682
9.550000  1.124050  0.799583
9.600000  1.135376  0.800665
9.650000  1.146692  0.801749
9.700000  1.158110  0.803018
9.750000  1.169516  0.804287
9.800000  1.180999  0.805744
9.850000  1.192469  0.807203
9.900000  1.203989  0.808852
9.950000  1.215496  0.810502
10.000000  1.227023  0.812345
10.050000  1.238535  0.814189
10.100000  1.250036  0.816229
10.150000  1.261522  0.818270
10.200000  1.272962  0.820509
10.250000  1.284386  0.822749
10.300000  1.295727  0.825188
10.350000  1.307053  0.827629
10.400000  1.318257  0.830271
10.450000  1.329445  0.832913
10.500000  1.340471  0.835759
10.550000  1.351479  0.838604
10.600000  1.362283  0.841654
10.650000  1.373068  0.844703
10.700000  1.383606  0.847957
10.750000  1.394124  0.851209
10.800000  1.404349  0.854666
10.850000  1.414554  0.858122
10.900000  1.424419  0.861781
10.950000  1.434263  0.865439
11.000000  1.443718  0.869298
11.050000  1.453153  0.873155
11.100000  1.462151  0.877211
11.150000  1.471128  0.881265
11.200000  1.479618  0.885515
11.250000  1.488088  0.889762
11.300000  1.496023  0.894200
11.350000  1.503937  0.898636
11.400000  1.511267  0.903258
11.450000  1.518577  0.907876
11.500000  1.525257  0.912674
11.550000  1.531917  0.917468
11.600000  1.537900  0.922434
11.650000  1.543865  0.927396
11.700000  1.549109  0.932522
11.750000  1.554336  0.937642
11.800000  1.558802  0.942917
11.850000  1.563251  0.948186
