   t     nR      nF
0.000000  0.852635  1.200000
0.050000  0.844109  1.198232
0.100000  0.835902  1.196264
0.150000  0.827700  1.194301
0.200000  0.819820  1.192149
0.250000  0.811944  1.190001
0.300000  0.804393  1.187673
0.350000  0.796845  1.185350
0.400000  0.789624  1.182857
0.450000  0.782404  1.180368
0.500000  0.775512  1.177720
0.550000  0.768620  1.175076
0.600000  0.762055  1.172282
0.650000  0.755490  1.169493
0.700000  0.749250  1.166563
0.750000  0.743010  1.163638
0.800000  0.737091  1.160582
0.850000  0.731173  1.157531
0.900000  0.725573  1.154359
0.950000  0.719973  1.151191
1.000000  0.714688  1.147911
1.050000  0.709402  1.144636
1.100000  0.704427  1.141259
1.150000  0.699452  1.137885
1.200000  0.694783  1.134419
1.250000  0.690113  1.130956
1.300000  0.685745  1.127410
1.350000  0.681377  1.123867
1.400000  0.677305  1.120248
1.450000  0.673233  1.116633
1.500000  0.669453  1.112950
1.550000  0.665673  1.109271
1.600000  0.662179  1.105533
1.650000  0.658685  1.101798
1.700000  0.655474  1.098012
1.750000  0.652262  1.094229
1.800000  0.649328  1.090402
1.850000  0.646393  1.086578
1.900000  0.643732  1.082717
1.950000  0.641069  1.078860
2.000000  0.638676  1.074973
2.050000  0.636282  1.071088
2.100000  0.634153  1.067181
2.150000  0.632023  1.063277
2.200000  0.630154  1.059356
2.250000  0.628284  1.055438
2.300000  0.626671  1.051509
2.350000  0.625057  1.047584
2.400000  0.623696  1.043654
2.450000  0.622335  1.039726
2.500000  0.621224  1.035800
2.550000  0.620112  1.031877
2.600000  0.619247  1.027960
2.650000  0.618382  1.024046
2.700000  0.617760  1.020144
2.750000  0.617138  1.016245
2.800000  0.616758  1.012363
2.850000  0.616377  1.008483
2.900000  0.616235  1.004625
2.950000  0.616092  1.000770
3.000000  0.616187  0.996941
3.050000  0.616282  0.993115
3.100000  0.616612  0.989320
3.150000  0.616941  0.985527
3.200000  0.617505  0.981769
3.250000  0.618068  0.978014
3.300000  0.618864  0.974299
3.350000  0.619659  0.970585
3.400000  0.620686  0.966916
3.450000  0.621713  0.963248
3.500000  0.622971  0.959628
3.550000  0.624229  0.956010
3.600000  0.625717  0.952443
3.650000  0.627205  0.948878
3.700000  0.628924  0.945368
3.750000  0.630642  0.941860
3.800000  0.632590  0.938411
3.850000  0.634538  0.934963
3.900000  0.636717  0.931577
3.950000  0.638895  0.928193
4.000000  0.641305  0.924873
4.050000  0.643714  0.921556
4.100000  0.646354  0.918307
4.150000  0.648994  0.915059
4.200000  0.651867  0.911883
4.250000  0.654739  0.908708
4.300000  0.657844  0.905608
4.350000  0.660949  0.902509
4.400000  0.664288  0.899488
4.450000  0.667626  0.896468
4.500000  0.671200  0.893529
4.550000  0.674773  0.890591
4.600000  0.678582  0.887736
4.650000  0.682391  0.884883
4.700000  0.686438  0.882115
4.750000  0.690484  0.879349
4.800000  0.694769  0.876671
4.850000  0.699053  0.873996
4.900000  0.703577  0.871411
4.950000  0.708101  0.868828
5.000000  0.712865  0.866339
5.050000  0.717630  0.863851
5.100000  0.722636  0.861460
5.150000  0.727642  0.859071
5.200000  0.732890  0.856781
5.250000  0.738139  0.854492
5.300000  0.743631  0.852306
5.350000  0.749122  0.850121
5.400000  0.754859  0.848040
5.450000  0.760594  0.845961
5.500000  0.766575  0.843989
5.550000  0.772555  0.842019
5.600000  0.778780  0.840159
5.650000  0.785004  0.838301
5.700000  0.791473  0.836555
5.750000  0.797941  0.834810
5.800000  0.804654  0.833181
5.850000  0.811366  0.831553
5.900000  0.818322  0.830044
5.950000  0.825275  0.828536
6.000000  0.832472  0.827148
6.050000  0.839667  0.825763
6.100000  0.847102  0.824501
6.150000  0.854536  0.823240
6.200000  0.862207  0.822105
6.250000  0.869876  0.820973
6.300000  0.877780  0.819969
6.350000  0.885682  0.818967
6.400000  0.893814  0.818096
6.450000  0.901943  0.817228
6.500000  0.910299  0.816494
6.550000  0.918651  0.815761
6.600000  0.927224  0.815167
6.650000  0.935793  0.814573
6.700000  0.944576  0.814121
6.750000  0.953355  0.813669
6.800000  0.962340  0.813361
6.850000  0.971321  0.813055
6.900000  0.980498  0.812895
6.950000  0.989671  0.812737
7.000000  0.999031  0.812727
7.050000  1.008386  0.812719
7.100000  1.017916  0.812863
7.150000  1.027441  0.813009
7.200000  1.037129  0.813310
7.250000  1.046810  0.813612
7.300000  1.056640  0.814071
7.350000  1.066463  0.814532
7.400000  1.076419  0.815154
7.450000  1.086368  0.815777
7.500000  1.096433  0.816563
7.550000  1.106489  0.817351
7.600000  1.116643  0.818304
7.650000  1.126787  0.819259
7.700000  1.137008  0.820381
7.750000  1.147220  0.821505
7.800000  1.157486  0.822800
7.850000  1.167741  0.824096
7.900000  1.178027  0.825565
7.950000  1.188301  0.827035
8.000000  1.198580  0.828680
8.050000  1.208847  0.830325
8.100000  1.219091  0.832148
8.150000  1.229323  0.833971
8.200000  1.239502  0.835973
8.250000  1.249667  0.837975
8.300000  1.259749  0.840157
8.350000  1.269817  0.842339
8.400000  1.279769  0.844703
8.450000  1.289707  0.847066
8.500000  1.299493  0.849611
8.550000  1.309265  0.852155
8.600000  1.318850  0.854882
8.650000  1.328420  0.857607
8.700000  1.337766  0.860515
8.750000  1.347096  0.863421
8.800000  1.356164  0.866508
8.850000  1.365216  0.869595
8.900000  1.373968  0.872860
8.950000  1.382702  0.876124
9.000000  1.391096  0.879566
9.050000  1.399473  0.883006
9.100000  1.407469  0.886621
9.150000  1.415448  0.890234
9.200000  1.423006  0.894018
9.250000  1.430546  0.897800
9.300000  1.437626  0.901749
9.350000  1.444688  0.905695
9.400000  1.451250  0.909804
9.450000  1.457795  0.913909
9.500000  1.463800  0.918171
9.550000  1.469789  0.922430
9.600000  1.475202  0.926838
9.650000  1.480598  0.931243
9.700000  1.485382  0.935789
9.750000  1.490151  0.940332
9.800000  1.494273  0.945007
9.850000  1.498382  0.949678
9.900000  1.501813  0.954474
9.950000  1.505232  0.959263
10.000000  1.507945  0.964167
10.050000  1.510647  0.969064
10.100000  1.512619  0.974064
10.150000  1.514580  0.979057
10.200000  1.515791  0.984140
10.250000  1.516993  0.989216
10.300000  1.517427  0.994368
10.350000  1.517854  0.999513
10.400000  1.517500  1.004720
10.450000  1.517142  1.009919
10.500000  1.515996  1.015165
10.550000  1.514846  1.020404
10.600000  1.512905  1.025672
10.650000  1.510963  1.030933
10.700000  1.508231  1.036208
10.750000  1.505500  1.041474
10.800000  1.501987  1.046737
10.850000  1.498477  1.051992
10.900000  1.494196  1.057225
10.950000  1.489921  1.062450
11.000000  1.484892  1.067635
11.050000  1.479870  1.072812
11.100000  1.474116  1.077931
11.150000  1.468372  1.083042
11.200000  1.461923  1.088077
11.250000  1.455485  1.093103
11.300000  1.448372  1.098035
11.350000  1.441272  1.102958
11.400000  1.433533  1.107769
11.450000  1.425808  1.112571
11.500000  1.417482  1.117244
11.550000  1.409173  1.121908
11.600000  1.400303  1.126425
11.650000  1.391452  1.130934
11.700000  1.382084  1.135279
11.750000  1.372736  1.139617
11.800000  1.362919  1.143774
11.850000  1.353121  1.147925
11.900000  1.342903  1.151881
11.950000  1.332705  1.155831
12.000000  1.322135  1.159572
12.050000  1.311586  1.163308
12.100000  1.300716  1.166822
12.150000  1.289866  1.170331
12.200000  1.278745  1.173607
12.250000  1.267645  1.176878
12.300000  1.256323  1.179906
12.350000  1.245022  1.182931
12.400000  1.233548  1.185703
12.450000  1.222095  1.188472
12.500000  1.210515  1.190982
12.550000  1.198956  1.193490
12.600000  1.187317  1.195731
12.650000  1.175697  1.197971
12.700000  1.164041  1.199941
12.750000  1.152404  1.201909
12.800000  1.140773  1.203604
12.850000  1.129160  1.205299
12.900000  1.117592  1.206718
12.950000  1.106040  1.208137
13.000000  1.094571  1.209280
13.050000  1.083117  1.210424
13.100000  1.071779  1.211292
13.150000  1.060456  1.212162
13.200000  1.049281  1.212758
13.250000  1.038118  1.213356
13.300000  1.027132  1.213683
13.350000  1.016158  1.214012
13.400000  1.005385  1.214075
13.450000  0.994623  1.214141
13.500000  0.984086  1.213945
13.550000  0.973559  1.213752
13.600000  0.963276  1.213303
13.650000  0.953002  1.212857
13.700000  0.942990  1.212163
13.750000  0.932987  1.211472
13.800000  0.923260  1.210539
13.850000  0.913541  1.209610
13.900000  0.904112  1.208448
13.950000  0.894689  1.207289
14.000000  0.885566  1.205905
14.050000  0.876449  1.204525
14.100000  0.867640  1.202928
14.150000  0.858837  1.201336
14.200000  0.850349  1.199537
14.250000  0.841865  1.197742
14.300000  0.833702  1.195749
14.350000  0.825542  1.193760
14.400000  0.817706  1.191583
14.450000  0.809873  1.189411
14.500000  0.802366  1.187061
14.550000  0.794861  1.184714
14.600000  0.787684  1.182200
14.650000  0.780508  1.179690
14.700000  0.773659  1.177021
14.750000  0.766811  1.174357
14.800000  0.760289  1.171544
14.850000  0.753768  1.168736
14.900000  0.747570  1.165789
14.950000  0.741373  1.162846
15.000000  0.735497  1.159774
15.050000  0.729621  1.156706
15.100000  0.724063  1.153519
15.150000  0.718506  1.150336
15.200000  0.713262  1.147043
15.250000  0.708018  1.143754
15.300000  0.703084  1.140363
15.350000  0.698149  1.136978
15.400000  0.693521  1.133500
15.450000  0.688891  1.130026
15.500000  0.684563  1.126468
15.550000  0.680235  1.122915
15.600000  0.676202  1.119287
15.650000  0.672169  1.115663
15.700000  0.668428  1.111972
15.750000  0.664685  1.108285
15.800000  0.661230  1.104539
15.850000  0.657774  1.100798
15.900000  0.654600  1.097005
15.950000  0.651425  1.093216
16.000000  0.648528  1.089384
16.050000  0.645629  1.085555
16.100000  0.643004  1.081690
16.150000  0.640378  1.077828
16.200000  0.638020  1.073938
16.250000  0.635661  1.070050
16.300000  0.633567  1.066140
16.350000  0.631472  1.062234
16.400000  0.629637  1.058311
16.450000  0.627802  1.054392
16.500000  0.626223  1.050462
16.550000  0.624643  1.046536
16.600000  0.623316  1.042606
16.650000  0.621988  1.038679
16.700000  0.620910  1.034753
16.750000  0.619831  1.030831
16.800000  0.618999  1.026915
16.850000  0.618166  1.023003
16.900000  0.617577  1.019103
16.950000  0.616987  1.015206
17.000000  0.616639  1.011326
17.050000  0.616290  1.007449
17.100000  0.616180  1.003595
17.150000  0.616069  0.999743
17.200000  0.616196  0.995918
17.250000  0.616321  0.992096
17.300000  0.616683  0.988305
17.350000  0.617043  0.984517
17.400000  0.617638  0.980765
17.450000  0.618232  0.977015
17.500000  0.619059  0.973305
17.550000  0.619885  0.969597
17.600000  0.620944  0.965934
17.650000  0.622001  0.962272
17.700000  0.623290  0.958659
17.750000  0.624579  0.955048
17.800000  0.626098  0.951488
17.850000  0.627617  0.947931
17.900000  0.629366  0.944428
17.950000  0.631115  0.940928
18.000000  0.633094  0.937486
18.050000  0.635073  0.934047
18.100000  0.637283  0.930669
18.150000  0.639492  0.927294
18.200000  0.641932  0.923983
18.250000  0.644372  0.920675
18.300000  0.647044  0.917435
18.350000  0.649715  0.914197
18.400000  0.652618  0.911030
18.450000  0.655522  0.907866
18.500000  0.658658  0.904776
18.550000  0.661794  0.901687
18.600000  0.665164  0.898676
18.650000  0.668534  0.895667
18.700000  0.672139  0.892739
18.750000  0.675744  0.889812
18.800000  0.679585  0.886968
18.850000  0.683426  0.884126
18.900000  0.687504  0.881370
18.950000  0.691582  0.878616
19.000000  0.695899  0.875951
19.050000  0.700215  0.873287
19.100000  0.704772  0.870715
19.150000  0.709328  0.868144
19.200000  0.714125  0.865668
19.250000  0.718921  0.863193
19.300000  0.723960  0.860815
19.350000  0.728998  0.858439
19.400000  0.734280  0.856163
19.450000  0.739560  0.853888
19.500000  0.745086  0.851715
19.550000  0.750610  0.849544
19.600000  0.756379  0.847478
19.650000  0.762147  0.845413
19.700000  0.768161  0.843456
19.750000  0.774173  0.841500
19.800000  0.780431  0.839655
19.850000  0.786688  0.837812
19.900000  0.793191  0.836081
19.950000  0.799691  0.834352
20.000000  0.806437  0.832738
20.050000  0.813182  0.831126
20.100000  0.820170  0.829633
20.150000  0.827156  0.828141
20.200000  0.834385  0.826770
20.250000  0.841612  0.825401
20.300000  0.849080  0.824156
20.350000  0.856545  0.822912
20.400000  0.864248  0.821795
20.450000  0.871949  0.820679
20.500000  0.879884  0.819693
20.550000  0.887816  0.818708
20.600000  0.895979  0.817856
20.650000  0.904139  0.817005
20.700000  0.912525  0.816289
20.750000  0.920907  0.815575
20.800000  0.929508  0.814999
20.850000  0.938106  0.814425
20.900000  0.946917  0.813991
20.950000  0.955724  0.813559
21.000000  0.964736  0.813271
21.050000  0.973743  0.812984
21.100000  0.982947  0.812844
21.150000  0.992145  0.812705
21.200000  1.001529  0.812716
21.250000  1.010907  0.812729
21.300000  1.020460  0.812893
21.350000  1.030007  0.813060
21.400000  1.039715  0.813381
21.450000  1.049417  0.813704
21.500000  1.059265  0.814186
21.550000  1.069107  0.814668
21.600000  1.079079  0.815312
21.650000  1.089044  0.815956
21.700000  1.099123  0.816765
21.750000  1.109192  0.817574
21.800000  1.119357  0.818550
21.850000  1.129512  0.819527
21.900000  1.139742  0.820673
21.950000  1.149961  0.821820
22.000000  1.160232  0.823138
22.050000  1.170492  0.824457
22.100000  1.180779  0.825949
22.150000  1.191055  0.827442
22.200000  1.201332  0.829111
22.250000  1.211596  0.830780
22.300000  1.221834  0.832627
22.350000  1.232059  0.834474
22.400000  1.242228  0.836499
22.450000  1.252383  0.838526
22.500000  1.262451  0.840732
22.550000  1.272504  0.842939
22.600000  1.282437  0.845326
22.650000  1.292355  0.847714
22.700000  1.302118  0.850283
22.750000  1.311865  0.852852
22.800000  1.321422  0.855602
22.850000  1.330962  0.858352
22.900000  1.340274  0.861284
22.950000  1.349570  0.864215
23.000000  1.358600  0.867326
23.050000  1.367612  0.870436
23.100000  1.376319  0.873726
23.150000  1.385008  0.877014
23.200000  1.393353  0.880479
23.250000  1.401679  0.883942
23.300000  1.409620  0.887580
23.350000  1.417544  0.891216
23.400000  1.425041  0.895023
23.450000  1.432521  0.898827
23.500000  1.439534  0.902798
23.550000  1.446530  0.906766
23.600000  1.453021  0.910896
23.650000  1.459494  0.915022
23.700000  1.465423  0.919305
23.750000  1.471336  0.923583
23.800000  1.476667  0.928011
23.850000  1.481982  0.932435
23.900000  1.486680  0.936999
23.950000  1.491363  0.941560
24.000000  1.495395  0.946252
24.050000  1.499414  0.950940
24.100000  1.502751  0.955751
24.150000  1.506076  0.960556
24.200000  1.508692  0.965473
24.250000  1.511297  0.970384
24.300000  1.513168  0.975396
24.350000  1.515029  0.980401
24.400000  1.516137  0.985495
24.450000  1.517237  0.990581
24.500000  1.517566  0.995742
24.550000  1.517889  1.000896
24.600000  1.517430  1.006109
24.650000  1.516967  1.011315
24.700000  1.515714  1.016565
24.750000  1.514458  1.021808
24.800000  1.512411  1.027079
24.850000  1.510363  1.032342
24.900000  1.507526  1.037616
24.950000  1.504691  1.042882
25.000000  1.501074  1.048143
25.050000  1.497461  1.053395
25.100000  1.493078  1.058623
25.150000  1.488702  1.063843
25.200000  1.483574  1.069021
25.250000  1.478454  1.074191
25.300000  1.472605  1.079300
25.350000  1.466766  1.084401
25.400000  1.460225  1.089424
25.450000  1.453696  1.094437
25.500000  1.446497  1.099354
25.550000  1.439311  1.104263
25.600000  1.431490  1.109057
25.650000  1.423685  1.113842
25.700000  1.415283  1.118495
25.750000  1.406898  1.123140
25.800000  1.397958  1.127635
25.850000  1.389037  1.132123
25.900000  1.379606  1.136444
25.950000  1.370194  1.140758
26.000000  1.360319  1.144890
26.050000  1.350465  1.149015
26.100000  1.340195  1.152944
26.150000  1.329947  1.156866
26.200000  1.319333  1.160578
26.250000  1.308740  1.164284
26.300000  1.297833  1.167767
26.350000  1.286946  1.171245
26.400000  1.275794  1.174489
26.450000  1.264664  1.177728
26.500000  1.253318  1.180723
26.550000  1.241992  1.183714
26.600000  1.230501  1.186452
26.650000  1.219029  1.189187
26.700000  1.207438  1.191661
26.750000  1.195867  1.194133
26.800000  1.184222  1.196339
26.850000  1.172597  1.198543
26.900000  1.160941  1.200476
26.950000  1.149304  1.202408
27.000000  1.137678  1.204067
27.050000  1.126070  1.205724
27.100000  1.114512  1.207107
27.150000  1.102971  1.208489
27.200000  1.091517  1.209596
27.250000  1.080078  1.210703
27.300000  1.068759  1.211535
27.350000  1.057455  1.212368
27.400000  1.046302  1.212928
27.450000  1.035163  1.213489
27.500000  1.024203  1.213781
27.550000  1.013255  1.214075
27.600000  1.002511  1.214103
27.650000  0.991779  1.214134
27.700000  0.981274  1.213903
27.750000  0.970779  1.213676
27.800000  0.960531  1.213194
27.850000  0.950292  1.212715
27.900000  0.940317  1.211988
27.950000  0.930350  1.211265
28.000000  0.920662  1.210301
28.050000  0.910981  1.209341
28.100000  0.901591  1.208148
28.150000  0.892208  1.206959
28.200000  0.883126  1.205546
28.250000  0.874050  1.204137
28.300000  0.865283  1.202513
28.350000  0.856522  1.200893
28.400000  0.848076  1.199067
28.450000  0.839635  1.197245
28.500000  0.831515  1.195227
28.550000  0.823398  1.193213
28.600000  0.815606  1.191012
28.650000  0.807816  1.188816
28.700000  0.800353  1.186443
28.750000  0.792892  1.184074
28.800000  0.785758  1.181538
28.850000  0.778626  1.179007
28.900000  0.771820  1.176318
28.950000  0.765016  1.173634
29.000000  0.758537  1.170803
29.050000  0.752059  1.167976
29.100000  0.745904  1.165011
29.150000  0.739750  1.162051
29.200000  0.733916  1.158962
29.250000  0.728083  1.155879
29.300000  0.722567  1.152676
29.350000  0.717051  1.149478
29.400000  0.711849  1.146171
29.450000  0.706646  1.142869
29.500000  0.701753  1.139466
29.550000  0.696859  1.136068
29.600000  0.692271  1.132578
29.650000  0.687682  1.129093
29.700000  0.683393  1.125526
29.750000  0.679104  1.121962
29.800000  0.675111  1.118325
29.850000  0.671117  1.114692
29.900000  0.667414  1.110993
29.950000  0.663710  1.107298
30.000000  0.660292  1.103545
30.050000  0.656874  1.099797
30.100000  0.653737  1.095998
30.150000  0.650599  1.092203
30.200000  0.647738  1.088366
30.250000  0.644876  1.084532
30.300000  0.642287  1.080663
30.350000  0.639696  1.076797
30.400000  0.637374  1.072903
30.450000  0.635051  1.069013
30.500000  0.632992  1.065101
30.550000  0.630931  1.061192
30.600000  0.629131  1.057268
30.650000  0.627329  1.053347
30.700000  0.625784  1.049417
30.750000  0.624238  1.045490
30.800000  0.622945  1.041559
30.850000  0.621650  1.037632
30.900000  0.620605  1.033708
30.950000  0.619559  1.029786
31.000000  0.618760  1.025872
31.050000  0.617959  1.021961
31.100000  0.617403  1.018064
31.150000  0.616845  1.014169
31.200000  0.616529  1.010292
31.250000  0.616211  1.006418
31.300000  0.616133  1.002567
31.350000  0.616054  0.998718
31.400000  0.616212  0.994898
31.450000  0.616369  0.991080
31.500000  0.616762  0.987294
31.550000  0.617154  0.983510
31.600000  0.617780  0.979763
31.650000  0.618405  0.976018
31.700000  0.619263  0.972314
31.750000  0.620120  0.968612
31.800000  0.621209  0.964955
31.850000  0.622298  0.961300
31.900000  0.623617  0.957693
31.950000  0.624937  0.954089
32.000000  0.626487  0.950536
32.050000  0.628036  0.946986
32.100000  0.629816  0.943492
32.150000  0.631596  0.939999
32.200000  0.633606  0.936566
32.250000  0.635615  0.933134
32.300000  0.637856  0.929765
32.350000  0.640096  0.926398
32.400000  0.642567  0.923097
32.450000  0.645038  0.919797
32.500000  0.647740  0.916567
32.550000  0.650443  0.913338
32.600000  0.653377  0.910182
32.650000  0.656312  0.907027
32.700000  0.659479  0.903947
32.750000  0.662646  0.900869
32.800000  0.666048  0.897869
32.850000  0.669449  0.894870
32.900000  0.673086  0.891953
32.950000  0.676722  0.889037
33.000000  0.680595  0.886205
33.050000  0.684468  0.883374
33.100000  0.688578  0.880630
33.150000  0.692688  0.877888
33.200000  0.697036  0.875234
33.250000  0.701385  0.872583
33.300000  0.705973  0.870023
33.350000  0.710561  0.867465
33.400000  0.715391  0.865001
33.450000  0.720219  0.862540
33.500000  0.725291  0.860175
33.550000  0.730361  0.857812
33.600000  0.735676  0.855549
33.650000  0.740989  0.853288
33.700000  0.746547  0.851129
33.750000  0.752104  0.848972
33.800000  0.757906  0.846920
33.850000  0.763707  0.844869
33.900000  0.769753  0.842927
33.950000  0.775799  0.840986
34.000000  0.782089  0.839156
34.050000  0.788379  0.837327
34.100000  0.794914  0.835612
34.150000  0.801448  0.833898
34.200000  0.808226  0.832301
34.250000  0.815003  0.830704
34.300000  0.822024  0.829227
34.350000  0.829043  0.827751
34.400000  0.836304  0.826397
34.450000  0.843564  0.825044
34.500000  0.851063  0.823815
34.550000  0.858560  0.822588
34.600000  0.866295  0.821489
34.650000  0.874027  0.820390
34.700000  0.881993  0.819422
34.750000  0.889957  0.818455
34.800000  0.898150  0.817620
34.850000  0.906340  0.816788
34.900000  0.914755  0.816090
34.950000  0.923167  0.815395
35.000000  0.931797  0.814837
35.050000  0.940424  0.814282
35.100000  0.949263  0.813867
35.150000  0.958097  0.813454
35.200000  0.967136  0.813185
35.250000  0.976169  0.812918
35.300000  0.985398  0.812798
35.350000  0.994621  0.812679
35.400000  1.004029  0.812710
35.450000  1.013432  0.812743
35.500000  1.023007  0.812929
35.550000  1.032575  0.813116
35.600000  1.042304  0.813459
35.650000  1.052025  0.813803
35.700000  1.061892  0.814305
35.750000  1.071752  0.814809
35.800000  1.081740  0.815475
35.850000  1.091720  0.816141
35.900000  1.101812  0.816972
35.950000  1.111895  0.817803
36.000000  1.122071  0.818802
36.050000  1.132236  0.819801
36.100000  1.142473  0.820970
36.150000  1.152700  0.822140
36.200000  1.162975  0.823481
36.250000  1.173240  0.824823
36.300000  1.183528  0.826339
36.350000  1.193804  0.827855
36.400000  1.204079  0.829548
36.450000  1.214340  0.831240
36.500000  1.224572  0.833111
36.550000  1.234790  0.834982
36.600000  1.244948  0.837032
36.650000  1.255092  0.839082
36.700000  1.265145  0.841313
36.750000  1.275183  0.843543
36.800000  1.285096  0.845955
36.850000  1.294994  0.848367
36.900000  1.304732  0.850961
36.950000  1.314455  0.853554
37.000000  1.323982  0.856329
37.050000  1.333493  0.859103
37.100000  1.342770  0.862059
37.150000  1.352031  0.865014
37.200000  1.361021  0.868149
37.250000  1.369993  0.871283
37.300000  1.378655  0.874596
37.350000  1.387299  0.877908
37.400000  1.395593  0.881397
37.450000  1.403869  0.884883
37.500000  1.411754  0.888544
37.550000  1.419621  0.892203
37.600000  1.427057  0.896032
37.650000  1.434475  0.899858
37.700000  1.441422  0.903851
37.750000  1.448351  0.907841
37.800000  1.454770  0.911992
37.850000  1.461171  0.916139
37.900000  1.467023  0.920442
37.950000  1.472859  0.924740
38.000000  1.478108  0.929187
38.050000  1.483341  0.933630
38.100000  1.487953  0.938212
38.150000  1.492550  0.942790
38.200000  1.496492  0.947500
38.250000  1.500420  0.952204
38.300000  1.503663  0.957030
38.350000  1.506894  0.961850
38.400000  1.509412  0.966781
38.450000  1.511919  0.971706
38.500000  1.513690  0.976730
38.550000  1.515451  0.981747
38.600000  1.516456  0.986851
38.650000  1.517453  0.991947
38.700000  1.517678  0.997116
38.750000  1.517897  1.002278
38.800000  1.517332  1.007498
38.850000  1.516763  1.012710
38.900000  1.515404  1.017964
38.950000  1.514043  1.023211
39.000000  1.511890  1.028484
39.050000  1.509737  1.033749
39.100000  1.506795  1.039023
39.150000  1.503855  1.044288
39.200000  1.500134  1.049546
39.250000  1.496418  1.054795
39.300000  1.491935  1.060019
39.350000  1.487458  1.065233
39.400000  1.482232  1.070404
39.450000  1.477014  1.075565
39.500000  1.471071  1.080665
39.550000  1.465137  1.085756
39.600000  1.458506  1.090765
39.650000  1.451887  1.095767
39.700000  1.444602  1.100669
39.750000  1.437331  1.105562
39.800000  1.429429  1.110339
39.850000  1.421543  1.115107
39.900000  1.413066  1.119740
39.950000  1.404606  1.124365
40.000000  1.395598  1.128838
40.050000  1.386608  1.133304
40.100000  1.377114  1.137601
40.150000  1.367639  1.141891
40.200000  1.357708  1.145997
40.250000  1.347797  1.150097
40.300000  1.337478  1.153997
40.350000  1.327180  1.157892
40.400000  1.316523  1.161574
40.450000  1.305887  1.165251
40.500000  1.294943  1.168703
40.550000  1.284020  1.172150
40.600000  1.272839  1.175361
40.650000  1.261679  1.178568
40.700000  1.250309  1.181529
40.750000  1.238961  1.184487
40.800000  1.227452  1.187190
40.850000  1.215964  1.189890
40.900000  1.204362  1.192330
40.950000  1.192781  1.194766
41.000000  1.181131  1.196936
41.050000  1.169501  1.199104
41.100000  1.157846  1.201001
41.150000  1.146209  1.202897
41.200000  1.134589  1.204519
41.250000  1.122987  1.206140
41.300000  1.111440  1.207485
41.350000  1.099910  1.208831
41.400000  1.088471  1.209901
41.450000  1.077047  1.210971
41.500000  1.065748  1.211767
41.550000  1.054464  1.212564
41.600000  1.043334  1.213088
41.650000  1.032218  1.213613
41.700000  1.021284  1.213870
41.750000  1.010363  1.214128
41.800000  0.999650  1.214121
41.850000  0.988947  1.214117
41.900000  0.978475  1.213853
41.950000  0.968012  1.213592
42.000000  0.957799  1.213077
42.050000  0.947595  1.212565
42.100000  0.937656  1.211806
42.150000  0.927726  1.211050
