   t     nR      nF
0.000000  1.200000  0.800000
0.050000  1.212000  0.803200
0.100000  1.223852  0.806811
0.150000  1.235674  0.810423
0.200000  1.247278  0.814451
0.250000  1.258849  0.818479
0.300000  1.270128  0.822925
0.350000  1.281374  0.827371
0.400000  1.292249  0.832237
0.450000  1.303088  0.837102
0.500000  1.313476  0.842386
0.550000  1.323827  0.847667
0.600000  1.333642  0.853366
0.650000  1.343420  0.859060
0.700000  1.352576  0.865167
0.750000  1.361695  0.871267
0.800000  1.370105  0.877772
0.850000  1.378479  0.884269
0.900000  1.386059  0.891159
0.950000  1.393602  0.898040
1.000000  1.400268  0.905298
1.050000  1.406898  0.912545
1.100000  1.412572  0.920150
1.150000  1.418211  0.927743
1.200000  1.422819  0.935670
1.250000  1.427396  0.943583
1.300000  1.430872  0.951801
1.350000  1.434321  0.960004
1.400000  1.436609  0.968479
1.450000  1.438873  0.976936
1.500000  1.439928  0.985630
1.550000  1.440962  0.994302
1.600000  1.440749  1.003168
1.650000  1.440521  1.012010
1.700000  1.439019  1.021000
1.750000  1.437508  1.029965
1.800000  1.434711  1.039025
1.850000  1.431912  1.048058
1.900000  1.427830  1.057131
1.950000  1.423751  1.066177
2.000000  1.418408  1.075203
2.050000  1.413074  1.084201
2.100000  1.406510  1.093117
2.150000  1.399961  1.102005
2.200000  1.392229  1.110748
2.250000  1.384520  1.119461
2.300000  1.375690  1.127966
2.350000  1.366888  1.136441
2.400000  1.357040  1.144644
2.450000  1.347225  1.152817
2.500000  1.336452  1.160655
2.550000  1.325716  1.168465
2.600000  1.314118  1.175879
2.650000  1.302562  1.183266
2.700000  1.290247  1.190199
2.750000  1.277976  1.197108
2.800000  1.265057  1.203510
2.850000  1.252184  1.209890
2.900000  1.238774  1.215715
2.950000  1.225413  1.221520
3.000000  1.211629  1.226728
3.050000  1.197894  1.231921
3.100000  1.183847  1.236480
3.150000  1.169850  1.241026
3.200000  1.155651  1.244912
3.250000  1.141499  1.248787
3.300000  1.127252  1.251980
3.350000  1.113050  1.255166
3.400000  1.098851  1.257655
3.450000  1.084694  1.260142
3.500000  1.070633  1.261925
3.550000  1.056612  1.263707
3.600000  1.042770  1.264786
3.650000  1.028964  1.265868
3.700000  1.015413  1.266253
3.750000  1.001895  1.266643
3.800000  0.988698  1.266349
3.850000  0.975531  1.266063
3.900000  0.962743  1.265110
3.950000  0.949981  1.264167
4.000000  0.937647  1.262580
4.050000  0.925337  1.261006
4.100000  0.913496  1.258814
4.150000  0.901674  1.256636
4.200000  0.890355  1.253872
4.250000  0.879053  1.251122
4.300000  0.868280  1.247819
4.350000  0.857521  1.244532
4.400000  0.847311  1.240726
4.450000  0.837113  1.236938
4.500000  0.827477  1.232667
4.550000  0.817850  1.228414
4.600000  0.808796  1.223717
4.650000  0.799749  1.219037
4.700000  0.791278  1.213952
4.750000  0.782814  1.208885
4.800000  0.774927  1.203450
4.850000  0.767044  1.198033
4.900000  0.759737  1.192287
4.950000  0.752432  1.186557
5.000000  0.745699  1.180537
5.050000  0.738968  1.174532
5.100000  0.732802  1.168273
5.150000  0.726637  1.162030
5.200000  0.721028  1.155567
5.250000  0.715420  1.149119
5.300000  0.710360  1.142486
5.350000  0.705299  1.135868
5.400000  0.700777  1.129096
5.450000  0.696254  1.122339
5.500000  0.692259  1.115460
5.550000  0.688263  1.108595
5.600000  0.684785  1.101637
5.650000  0.681305  1.094692
5.700000  0.678334  1.087682
5.750000  0.675360  1.080684
5.800000  0.672885  1.073648
5.850000  0.670407  1.066624
5.900000  0.668418  1.059586
5.950000  0.666427  1.052559
6.000000  0.664916  1.045542
6.050000  0.663401  1.038535
6.100000  0.662359  1.031559
6.150000  0.661314  1.024593
6.200000  0.660733  1.017679
6.250000  0.660149  1.010773
6.300000  0.660022  1.003938
6.350000  0.659892  0.997112
6.400000  0.660212  0.990373
6.450000  0.660530  0.983643
6.500000  0.661293  0.977016
6.550000  0.662053  0.970398
6.600000  0.663252  0.963899
6.650000  0.664450  0.957407
6.700000  0.666083  0.951048
6.750000  0.667713  0.944697
6.800000  0.669775  0.938492
6.850000  0.671835  0.932294
6.900000  0.674324  0.926254
6.950000  0.676810  0.920221
7.000000  0.679723  0.914358
7.050000  0.682634  0.908501
7.100000  0.685969  0.902825
7.150000  0.689302  0.897154
7.200000  0.693059  0.891675
7.250000  0.696812  0.886201
7.300000  0.700988  0.880928
7.350000  0.705162  0.875659
7.400000  0.709756  0.870600
7.450000  0.714348  0.865547
7.500000  0.719361  0.860711
7.550000  0.724371  0.855880
7.600000  0.729801  0.851274
7.650000  0.735228  0.846674
7.700000  0.741074  0.842307
