   t     nR      nF
0.000000  0.765558  1.200000
0.050000  0.757903  1.194373
0.100000  0.750827  1.188434
0.150000  0.743753  1.182511
0.200000  0.737253  1.176313
0.250000  0.730753  1.170132
0.300000  0.724820  1.163711
0.350000  0.718887  1.157306
0.400000  0.713512  1.150698
0.450000  0.708135  1.144104
0.500000  0.703307  1.137341
0.550000  0.698477  1.130592
0.600000  0.694185  1.123705
0.650000  0.689892  1.116832
0.700000  0.686125  1.109851
0.750000  0.682357  1.102884
0.800000  0.679105  1.095838
0.850000  0.675851  1.088805
0.900000  0.673103  1.081721
0.950000  0.670353  1.074649
1.000000  0.668099  1.067551
1.050000  0.665842  1.060464
1.100000  0.664073  1.053376
1.150000  0.662301  1.046299
1.200000  0.661007  1.039243
1.250000  0.659710  1.032197
1.300000  0.658883  1.025193
1.350000  0.658053  1.018199
1.400000  0.657685  1.011266
1.450000  0.657314  1.004343
1.500000  0.657400  0.997499
1.550000  0.657482  0.990664
1.600000  0.658013  0.983926
1.650000  0.658542  0.977197
1.700000  0.659515  0.970579
1.750000  0.660485  0.963970
1.800000  0.661895  0.957488
1.850000  0.663302  0.951014
1.900000  0.665144  0.944680
1.950000  0.666984  0.938353
2.000000  0.669256  0.932181
2.050000  0.671525  0.926014
2.100000  0.674224  0.920014
2.150000  0.676921  0.914019
2.200000  0.680044  0.908202
2.250000  0.683166  0.902390
2.300000  0.686713  0.896765
2.350000  0.690257  0.891146
2.400000  0.694226  0.885724
2.450000  0.698193  0.880308
2.500000  0.702583  0.875097
2.550000  0.706971  0.869892
2.600000  0.711781  0.864901
2.650000  0.716590  0.859915
2.700000  0.721820  0.855152
2.750000  0.727048  0.850395
2.800000  0.732697  0.845868
2.850000  0.738343  0.841346
2.900000  0.744411  0.837062
2.950000  0.750476  0.832783
3.000000  0.756960  0.828750
3.050000  0.763442  0.824722
3.100000  0.770342  0.820946
3.150000  0.777238  0.817175
3.200000  0.784552  0.813665
3.250000  0.791861  0.810159
3.300000  0.799584  0.806920
3.350000  0.807304  0.803685
3.400000  0.815433  0.800725
3.450000  0.823558  0.797769
3.500000  0.832088  0.795095
3.550000  0.840613  0.792425
3.600000  0.849537  0.790043
3.650000  0.858455  0.787665
3.700000  0.867765  0.785583
3.750000  0.877068  0.783505
3.800000  0.886753  0.781730
3.850000  0.896430  0.779960
3.900000  0.906478  0.778499
3.950000  0.916517  0.777043
4.000000  0.926912  0.775904
4.050000  0.937298  0.774770
4.100000  0.948023  0.773961
4.150000  0.958738  0.773157
4.200000  0.969771  0.772685
4.250000  0.980794  0.772218
4.300000  0.992112  0.772092
4.350000  1.003418  0.771970
4.400000  1.014993  0.772197
4.450000  1.026554  0.772429
4.500000  1.038354  0.773018
4.550000  1.050139  0.773611
4.600000  1.062129  0.774569
4.650000  1.074100  0.775532
4.700000  1.086239  0.776868
4.750000  1.098357  0.778208
4.800000  1.110599  0.779930
4.850000  1.122820  0.781655
4.900000  1.135116  0.783770
4.950000  1.147388  0.785888
5.000000  1.159683  0.788403
5.050000  1.171952  0.790921
5.100000  1.184186  0.793843
5.150000  1.196392  0.796767
5.200000  1.208500  0.800102
5.250000  1.220579  0.803439
5.300000  1.232492  0.807191
5.350000  1.244374  0.810944
5.400000  1.256018  0.815118
5.450000  1.267629  0.819292
5.500000  1.278925  0.823889
5.550000  1.290187  0.828485
5.600000  1.301054  0.833505
5.650000  1.311885  0.838524
5.700000  1.322237  0.843966
5.750000  1.332553  0.849405
5.800000  1.342305  0.855265
5.850000  1.352019  0.861120
5.900000  1.361082  0.867390
5.950000  1.370106  0.873654
6.000000  1.378393  0.880324
6.050000  1.386641  0.886986
6.100000  1.394063  0.894042
6.150000  1.401449  0.901088
6.200000  1.407925  0.908511
6.250000  1.414366  0.915923
6.300000  1.419817  0.923692
6.350000  1.425234  0.931448
6.400000  1.429587  0.939536
6.450000  1.433909  0.947608
6.500000  1.437100  0.955983
6.550000  1.440263  0.964340
6.600000  1.442236  0.972965
6.650000  1.444185  0.981571
6.700000  1.444897  0.990405
6.750000  1.445590  0.999218
6.800000  1.445010  1.008215
6.850000  1.444417  1.017188
6.900000  1.442528  1.026297
6.950000  1.440631  1.035381
7.000000  1.437431  1.044546
7.050000  1.434229  1.053684
7.100000  1.429731  1.062848
7.150000  1.425238  1.071982
7.200000  1.419472  1.081082
7.250000  1.413717  1.090151
7.300000  1.406727  1.099122
7.350000  1.399755  1.108063
7.400000  1.391601  1.116840
7.450000  1.383471  1.125587
7.500000  1.374226  1.134106
7.550000  1.365012  1.142594
7.600000  1.354762  1.150788
7.650000  1.344548  1.158953
7.700000  1.333390  1.166760
7.750000  1.322272  1.174540
7.800000  1.310311  1.181901
7.850000  1.298394  1.189236
7.900000  1.285741  1.196096
7.950000  1.273134  1.202931
8.000000  1.259905  1.209238
8.050000  1.246724  1.215524
8.100000  1.233035  1.221234
8.150000  1.219395  1.226926
8.200000  1.205364  1.232001
8.250000  1.191381  1.237062
8.300000  1.177120  1.241471
8.350000  1.162908  1.245869
8.400000  1.148528  1.249590
8.450000  1.134195  1.253302
8.500000  1.119799  1.256317
8.550000  1.105448  1.259328
8.600000  1.091131  1.261629
8.650000  1.076858  1.263929
8.700000  1.062710  1.265515
8.750000  1.048602  1.267102
8.800000  1.034702  1.267978
8.850000  1.020838  1.268858
8.900000  1.007256  1.269036
8.950000  0.993706  1.269220
9.000000  0.980503  1.268716
9.050000  0.967329  1.268222
