   t     nR      nF
0.000000  1.200000  0.800000
0.050000  1.212000  0.801600
0.100000  1.224046  0.803399
0.150000  1.236079  0.805199
0.200000  1.248125  0.807201
0.250000  1.260157  0.809203
0.300000  1.272168  0.811411
0.350000  1.284164  0.813619
0.400000  1.296103  0.816035
0.450000  1.308025  0.818451
0.500000  1.319850  0.821077
0.550000  1.331657  0.823703
0.600000  1.343326  0.826541
0.650000  1.354977  0.829379
0.700000  1.366445  0.832429
0.750000  1.377894  0.835479
0.800000  1.389114  0.838743
0.850000  1.400315  0.842007
0.900000  1.411238  0.845485
0.950000  1.422141  0.848962
1.000000  1.432718  0.852652
1.050000  1.443274  0.856342
1.100000  1.453452  0.860244
1.150000  1.463608  0.864145
1.200000  1.473336  0.868257
1.250000  1.483041  0.872367
1.300000  1.492264  0.876685
1.350000  1.501465  0.881000
1.400000  1.510132  0.885520
1.450000  1.518776  0.890038
1.500000  1.526833  0.894755
1.550000  1.534867  0.899469
1.600000  1.542263  0.904377
1.650000  1.549636  0.909281
1.700000  1.556321  0.914372
1.750000  1.562984  0.919459
1.800000  1.568909  0.924725
1.850000  1.574814  0.929986
1.900000  1.579935  0.935417
1.950000  1.585037  0.940841
2.000000  1.589312  0.946425
2.050000  1.593569  0.952003
2.100000  1.596961  0.957727
2.150000  1.600336  0.963444
2.200000  1.602811  0.969295
2.250000  1.605272  0.975138
2.300000  1.606802  0.981099
2.350000  1.608320  0.987052
2.400000  1.608884  0.993108
2.450000  1.609439  0.999155
2.500000  1.609020  1.005286
2.550000  1.608595  1.011409
2.600000  1.607185  1.017597
2.650000  1.605771  1.023776
2.700000  1.603367  1.030001
2.750000  1.600962  1.036215
2.800000  1.597569  1.042455
2.850000  1.594178  1.048685
2.900000  1.589808  1.054917
2.950000  1.585443  1.061139
3.000000  1.580115  1.067342
3.050000  1.574794  1.073534
3.100000  1.568535  1.079683
3.150000  1.562286  1.085822
3.200000  1.555127  1.091894
3.250000  1.547982  1.097955
3.300000  1.539964  1.103927
3.350000  1.531961  1.109888
3.400000  1.523129  1.115736
3.450000  1.514315  1.121572
3.500000  1.504719  1.127272
3.550000  1.495144  1.132962
3.600000  1.484840  1.138492
