   t     nR      nF
0.000000  0.800000  0.800000
0.050000  0.808000  0.795200
0.100000  0.816548  0.790839
0.150000  0.825087  0.786487
0.200000  0.834165  0.782585
0.250000  0.843233  0.778692
0.300000  0.852826  0.775261
0.350000  0.862409  0.771838
0.400000  0.872503  0.768889
0.450000  0.882585  0.765948
0.500000  0.893160  0.763493
0.550000  0.903722  0.761046
0.600000  0.914755  0.759097
0.650000  0.925773  0.757155
0.700000  0.937237  0.755725
0.750000  0.948684  0.754302
0.800000  0.960546  0.753402
0.850000  0.972389  0.752510
0.900000  0.984611  0.752155
0.950000  0.996813  0.751808
1.000000  1.009351  0.752012
1.050000  1.021867  0.752223
1.100000  1.034671  0.752999
1.150000  1.047449  0.753782
1.200000  1.060461  0.755145
1.250000  1.073444  0.756514
1.300000  1.086598  0.758478
1.350000  1.099720  0.760449
1.400000  1.112942  0.763028
1.450000  1.126129  0.765614
1.500000  1.139337  0.768822
1.550000  1.152506  0.772036
1.600000  1.165610  0.775887
1.650000  1.178671  0.779741
1.700000  1.191571  0.784246
1.750000  1.204425  0.788753
1.800000  1.217014  0.793920
1.850000  1.229554  0.799089
1.900000  1.241717  0.804926
1.950000  1.253829  0.810763
2.000000  1.265444  0.817274
2.050000  1.277006  0.823782
2.100000  1.287947  0.830965
2.150000  1.298833  0.838144
2.200000  1.308970  0.845993
2.250000  1.319049  0.853835
2.300000  1.328250  0.862338
2.350000  1.337392  0.870830
2.400000  1.345525  0.879967
2.450000  1.353600  0.889088
2.500000  1.360538  0.898830
2.550000  1.367420  0.908552
2.600000  1.373043  0.918859
2.650000  1.378613  0.929142
2.700000  1.382811  0.939966
2.750000  1.386962  0.950761
2.800000  1.389641  0.962041
2.850000  1.392278  0.973286
2.900000  1.393360  0.984948
2.950000  1.394408  0.996572
3.000000  1.393838  1.008532
3.050000  1.393243  1.020448
3.100000  1.390989  1.032609
3.150000  1.388721  1.044721
3.200000  1.384779  1.056975
3.250000  1.380834  1.069176
3.300000  1.375226  1.081406
3.350000  1.369629  1.093579
3.400000  1.362410  1.105659
3.450000  1.355212  1.117680
3.500000  1.346461  1.129480
3.550000  1.337744  1.141219
3.600000  1.327570  1.152606
3.650000  1.317440  1.163933
3.700000  1.305973  1.174775
3.750000  1.294560  1.185558
3.800000  1.281951  1.195728
3.850000  1.269405  1.205842
3.900000  1.255821  1.215220
3.950000  1.242307  1.224546
4.000000  1.227926  1.233023
4.050000  1.213619  1.241454
4.100000  1.198622  1.248935
4.150000  1.183704  1.256377
4.200000  1.168275  1.262783
4.250000  1.152925  1.269158
4.300000  1.137243  1.274428
4.350000  1.121639  1.279675
4.400000  1.105874  1.283767
4.450000  1.090183  1.287845
4.500000  1.074493  1.290736
4.550000  1.058874  1.293620
4.600000  1.043403  1.295305
4.650000  1.027997  1.296992
4.700000  1.012872  1.297484
4.750000  0.997806  1.297985
4.800000  0.983139  1.297313
4.850000  0.968524  1.296657
4.900000  0.954407  1.294864
4.950000  0.940336  1.293093
5.000000  0.926846  1.290235
5.050000  0.913396  1.287404
5.100000  0.900595  1.283546
5.150000  0.887827  1.279718
5.200000  0.875761  1.274933
5.250000  0.863722  1.270181
5.300000  0.852425  1.264547
5.350000  0.841149  1.258948
5.400000  0.830643  1.252548
5.450000  0.820154  1.246184
5.500000  0.810452  1.239101
5.550000  0.800763  1.232055
5.600000  0.791870  1.224372
5.650000  0.782987  1.216728
5.700000  0.774901  1.208530
5.750000  0.766821  1.200368
5.800000  0.759536  1.191736
5.850000  0.752255  1.183139
5.900000  0.745760  1.174149
5.950000  0.739266  1.165193
6.000000  0.733547  1.155920
6.050000  0.727829  1.146680
6.100000  0.722872  1.137195
6.150000  0.717913  1.127740
6.200000  0.713701  1.118107
6.250000  0.709486  1.108504
6.300000  0.706003  1.098785
6.350000  0.702516  1.089094
6.400000  0.699744  1.079346
6.450000  0.696968  1.069624
6.500000  0.694891  1.059898
6.550000  0.692810  1.050197
6.600000  0.691414  1.040541
6.650000  0.690012  1.030909
6.700000  0.689281  1.021367
6.750000  0.688544  1.011847
6.800000  0.688465  1.002459
6.850000  0.688380  0.993090
6.900000  0.688941  0.983891
6.950000  0.689496  0.974709
7.000000  0.690685  0.965732
7.050000  0.691868  0.956770
7.100000  0.693676  0.948043
7.150000  0.695478  0.939331
7.200000  0.697895  0.930880
7.250000  0.700307  0.922443
7.300000  0.703326  0.914293
7.350000  0.706340  0.906156
7.400000  0.709955  0.898327
7.450000  0.713564  0.890510
7.500000  0.717768  0.883023
7.550000  0.721966  0.875546
7.600000  0.726753  0.868417
7.650000  0.731534  0.861298
7.700000  0.736899  0.854543
7.750000  0.742259  0.847798
7.800000  0.748197  0.841432
7.850000  0.754129  0.835076
7.900000  0.760634  0.829113
7.950000  0.767133  0.823159
8.000000  0.774200  0.817612
8.050000  0.781260  0.812073
8.100000  0.788882  0.806954
8.150000  0.796497  0.801843
8.200000  0.804665  0.797163
8.250000  0.812826  0.792492
8.300000  0.821532  0.788263
8.350000  0.830230  0.784043
8.400000  0.839462  0.780277
8.450000  0.848684  0.776519
8.500000  0.858428  0.773227
8.550000  0.868161  0.769943
8.600000  0.878401  0.767136
8.650000  0.888628  0.764338
8.700000  0.899342  0.762029
8.750000  0.910043  0.759727
8.800000  0.921208  0.757928
8.850000  0.932358  0.756136
8.900000  0.943945  0.754859
8.950000  0.955515  0.753590
9.000000  0.967490  0.752848
9.050000  0.979446  0.752114
9.100000  0.991769  0.751920
9.150000  1.004071  0.751735
9.200000  1.016697  0.752104
9.250000  1.029298  0.752481
9.300000  1.042174  0.753427
9.350000  1.055022  0.754380
9.400000  1.068087  0.755917
9.450000  1.081122  0.757461
9.500000  1.094309  0.759604
9.550000  1.107462  0.761753
9.600000  1.120694  0.764516
9.650000  1.133889  0.767284
9.700000  1.147081  0.770679
9.750000  1.160233  0.774080
9.800000  1.173293  0.778121
9.850000  1.186309  0.782167
9.900000  1.199135  0.786865
9.950000  1.211914  0.791566
10.000000  1.224395  0.796930
10.050000  1.236827  0.802294
10.100000  1.248848  0.808330
10.150000  1.260816  0.814364
10.200000  1.272253  0.821074
10.250000  1.283635  0.827780
10.300000  1.294360  0.835161
10.350000  1.305028  0.842536
10.400000  1.314909  0.850581
10.450000  1.324733  0.858617
10.500000  1.333639  0.867310
10.550000  1.342487  0.875991
10.600000  1.350287  0.885311
10.650000  1.358030  0.894614
10.700000  1.364599  0.904529
10.750000  1.371113  0.914423
10.800000  1.376332  0.924890
10.850000  1.381501  0.935332
10.900000  1.385266  0.946300
10.950000  1.388986  0.957237
11.000000  1.391206  0.968641
11.050000  1.393387  0.980009
11.100000  1.393991  0.991773
11.150000  1.394565  1.003495
11.200000  1.393504  1.015529
11.250000  1.392422  1.027518
11.300000  1.389672  1.039722
11.350000  1.386912  1.051877
11.400000  1.382477  1.064141
11.450000  1.378044  1.076352
11.500000  1.371956  1.088556
11.550000  1.365881  1.100703
11.600000  1.358201  1.112719
11.650000  1.350546  1.124677
11.700000  1.341363  1.136375
11.750000  1.332216  1.148012
11.800000  1.321644  1.159258
11.850000  1.311120  1.170444
11.900000  1.299297  1.181107
11.950000  1.287532  1.191712
12.000000  1.274614  1.201666
12.050000  1.261761  1.211566
12.100000  1.247919  1.220695
12.150000  1.234149  1.229774
12.200000  1.219562  1.237972
12.250000  1.205051  1.246126
12.300000  1.189902  1.253303
12.350000  1.174832  1.260443
12.400000  1.159305  1.266525
12.450000  1.143855  1.272578
12.500000  1.128126  1.277509
12.550000  1.112472  1.282419
12.600000  1.096707  1.286163
12.650000  1.081015  1.289894
12.700000  1.065369  1.292433
12.750000  1.049792  1.294967
12.800000  1.034404  1.296302
12.850000  1.019079  1.297640
12.900000  1.004072  1.297787
12.950000  0.989122  1.297946
13.000000  0.974602  1.296940
13.050000  0.960132  1.295952
13.100000  0.946186  1.293840
13.150000  0.932285  1.291751
13.200000  0.918987  1.288592
13.250000  0.905726  1.285460
13.300000  0.893132  1.281321
13.350000  0.880569  1.277213
13.400000  0.868721  1.272168
13.450000  0.856899  1.267158
13.500000  0.845829  1.261288
13.550000  0.834778  1.255455
