   t     nR      nF
0.000000  0.800000  0.800000
0.050000  0.808000  0.793600
0.100000  0.816677  0.787810
0.150000  0.825342  0.782033
0.200000  0.834667  0.776883
0.250000  0.843978  0.771745
0.300000  0.853931  0.767250
0.350000  0.863869  0.762768
0.400000  0.874425  0.758944
0.450000  0.884964  0.755131
0.500000  0.896095  0.751994
0.550000  0.907207  0.748869
0.600000  0.918878  0.746435
0.650000  0.930527  0.744013
0.700000  0.942698  0.742300
0.750000  0.954845  0.740598
0.800000  0.967467  0.739625
0.850000  0.980062  0.738662
0.900000  0.993079  0.738446
0.950000  1.006067  0.738242
1.000000  1.019414  0.738805
1.050000  1.032727  0.739378
1.100000  1.046329  0.740740
1.150000  1.059893  0.742113
1.200000  1.073662  0.744296
1.250000  1.087389  0.746489
1.300000  1.101229  0.749515
1.350000  1.115021  0.752550
1.400000  1.128820  0.756440
1.450000  1.142567  0.760338
1.500000  1.156203  0.765112
1.550000  1.169782  0.769892
1.600000  1.183121  0.775569
1.650000  1.196397  0.781250
1.700000  1.209292  0.787844
1.750000  1.222120  0.794439
1.800000  1.234414  0.801960
1.850000  1.246637  0.809480
1.900000  1.258165  0.817932
1.950000  1.269618  0.826379
2.000000  1.280208  0.835757
2.050000  1.290721  0.845124
2.100000  1.300198  0.855412
2.150000  1.309598  0.865684
2.200000  1.317788  0.876854
2.250000  1.325902  0.888000
2.300000  1.332638  0.900006
2.350000  1.339301  0.911981
2.400000  1.344427  0.924761
2.450000  1.349485  0.937501
2.500000  1.352861  0.950972
2.550000  1.356177  0.964394
2.600000  1.357690  0.978452
2.650000  1.359153  0.992451
2.700000  1.358716  1.006967
2.750000  1.358242  1.021415
2.800000  1.355807  1.036240
2.850000  1.353350  1.050988
2.900000  1.348907  1.065949
2.950000  1.344459  1.080826
3.000000  1.338040  1.095733
3.050000  1.331635  1.110549
3.100000  1.323319  1.125197
3.150000  1.315035  1.139749
3.200000  1.304941  1.153922
3.250000  1.294898  1.167997
3.300000  1.283187  1.181477
3.350000  1.271544  1.194860
3.400000  1.258410  1.207434
3.450000  1.245358  1.219914
3.500000  1.231023  1.231379
3.550000  1.216781  1.242758
3.600000  1.201484  1.252932
3.650000  1.186290  1.263029
3.700000  1.170281  1.271755
3.750000  1.154380  1.280417
3.800000  1.137911  1.287568
3.850000  1.121549  1.294671
3.900000  1.104862  1.300158
