   t     nR      nF
0.000000  1.200000  0.800000
0.050000  1.212000  0.804800
0.100000  1.223658  0.810237
0.150000  1.235268  0.815674
0.200000  1.246428  0.821751
0.250000  1.257536  0.827826
0.300000  1.268079  0.834543
0.350000  1.278570  0.841255
0.400000  1.288376  0.848604
0.450000  1.298128  0.855945
0.500000  1.307076  0.863915
0.550000  1.315970  0.871873
0.600000  1.323937  0.880444
0.650000  1.331851  0.889000
0.700000  1.338720  0.898145
0.750000  1.345538  0.907271
0.800000  1.351197  0.916955
0.850000  1.356808  0.926616
0.900000  1.361154  0.936792
0.950000  1.365456  0.946942
1.000000  1.368399  0.957556
1.050000  1.371303  0.968139
1.100000  1.372768  0.979124
1.150000  1.374201  0.990074
1.200000  1.374132  1.001354
1.250000  1.374039  1.012593
1.300000  1.372402  1.024078
1.350000  1.370750  1.035520
1.400000  1.367533  1.047114
1.450000  1.364312  1.058659
1.500000  1.359530  1.070255
1.550000  1.354755  1.081798
1.600000  1.348449  1.093281
1.650000  1.342159  1.104709
1.700000  1.334395  1.115960
1.750000  1.326658  1.127155
1.800000  1.317526  1.138052
1.850000  1.308431  1.148893
1.900000  1.298044  1.159313
1.950000  1.287704  1.169679
2.000000  1.276195  1.179504
2.050000  1.264740  1.189278
2.100000  1.252256  1.198395
2.150000  1.239834  1.207464
2.200000  1.226534  1.215771
2.250000  1.213301  1.224033
2.300000  1.199352  1.231436
2.350000  1.185473  1.238801
2.400000  1.171043  1.245222
2.450000  1.156684  1.251612
2.500000  1.141939  1.256988
2.550000  1.127266  1.262341
2.600000  1.112366  1.266628
2.650000  1.097537  1.270897
2.700000  1.082634  1.274065
2.750000  1.067799  1.277224
2.800000  1.053032  1.279261
2.850000  1.038329  1.281296
2.900000  1.023825  1.282207
2.950000  1.009378  1.283124
3.000000  0.995247  1.282929
3.050000  0.981167  1.282746
3.100000  0.967505  1.281480
3.150000  0.953888  1.280231
3.200000  0.940774  1.277938
3.250000  0.927700  1.275667
3.300000  0.915200  1.272404
3.350000  0.902735  1.269167
3.400000  0.890901  1.264997
3.450000  0.879097  1.260857
3.500000  0.867970  1.255851
3.550000  0.856866  1.250877
3.600000  0.846473  1.245108
3.650000  0.836099  1.239374
3.700000  0.826459  1.232920
3.750000  0.816834  1.226501
3.800000  0.807957  1.219441
3.850000  0.799092  1.212415
3.900000  0.790983  1.204826
3.950000  0.782883  1.197271
4.000000  0.775539  1.189229
4.050000  0.768202  1.181221
4.100000  0.761618  1.172801
4.150000  0.755038  1.164414
4.200000  0.749204  1.155687
4.250000  0.743372  1.146991
4.300000  0.738277  1.138026
4.350000  0.733182  1.129090
4.400000  0.728813  1.119950
4.450000  0.724442  1.110838
4.500000  0.720783  1.101584
4.550000  0.717122  1.092356
4.600000  0.714160  1.083044
