   t     nR      nF
0.000000  1.019873  1.200000
0.050000  1.009674  1.200954
0.100000  0.999583  1.200929
0.150000  0.989541  1.200909
0.200000  0.979702  1.199925
0.250000  0.969909  1.198950
0.300000  0.960406  1.197038
0.350000  0.950944  1.195143
0.400000  0.941849  1.192348
0.450000  0.932791  1.189575
0.500000  0.924166  1.185952
0.550000  0.915573  1.182355
0.600000  0.907470  1.177966
0.650000  0.899395  1.173606
0.700000  0.891856  1.168521
0.750000  0.884341  1.163466
0.800000  0.877400  1.157755
0.850000  0.870479  1.152078
0.900000  0.864162  1.145818
0.950000  0.857861  1.139592
1.000000  0.852187  1.132859
1.050000  0.846526  1.126161
1.100000  0.841507  1.119032
1.150000  0.836498  1.111938
1.200000  0.832143  1.104488
1.250000  0.827796  1.097072
1.300000  0.824107  1.089375
1.350000  0.820425  1.081710
1.400000  0.817404  1.073835
1.450000  0.814386  1.065992
1.500000  0.812030  1.058006
1.550000  0.809674  1.050051
1.600000  0.807977  1.042018
1.650000  0.806280  1.034014
1.700000  0.805235  1.025993
1.750000  0.804188  1.018000
1.800000  0.803787  1.010046
1.850000  0.803383  1.002118
1.900000  0.803617  0.994283
1.950000  0.803847  0.986473
2.000000  0.804704  0.978803
2.050000  0.805557  0.971157
2.100000  0.807028  0.963696
2.150000  0.808493  0.956258
2.200000  0.810564  0.949046
2.250000  0.812629  0.941855
2.300000  0.815289  0.934928
2.350000  0.817942  0.928020
2.400000  0.821177  0.921412
2.450000  0.824404  0.914821
2.500000  0.828199  0.908560
2.550000  0.831986  0.902317
2.600000  0.836326  0.896432
2.650000  0.840657  0.890563
2.700000  0.845526  0.885080
2.750000  0.850384  0.879611
2.800000  0.855764  0.874552
2.850000  0.861131  0.869506
2.900000  0.867001  0.864892
2.950000  0.872858  0.860291
3.000000  0.879196  0.856142
3.050000  0.885520  0.852004
3.100000  0.892301  0.848338
3.150000  0.899067  0.844684
3.200000  0.906265  0.841518
3.250000  0.913446  0.838363
3.300000  0.921030  0.835713
3.350000  0.928595  0.833073
3.400000  0.936530  0.830954
3.450000  0.944446  0.828844
3.500000  0.952695  0.827270
3.550000  0.960923  0.825705
3.600000  0.969443  0.824689
3.650000  0.977941  0.823681
3.700000  0.986686  0.823236
3.750000  0.995407  0.822797
3.800000  1.004325  0.822933
3.850000  1.013217  0.823076
3.900000  1.022252  0.823804
3.950000  1.031257  0.824537
4.000000  1.040346  0.825865
4.050000  1.049404  0.827198
4.100000  1.058480  0.829135
4.150000  1.067523  0.831074
4.200000  1.076513  0.833624
4.250000  1.085469  0.836175
4.300000  1.094296  0.839341
4.350000  1.103086  0.842507
4.400000  1.111669  0.846290
4.450000  1.120213  0.850070
4.500000  1.128464  0.854465
4.550000  1.136676  0.858855
4.600000  1.144508  0.863855
4.650000  1.152299  0.868849
4.700000  1.159620  0.874441
4.750000  1.166900  0.880025
4.800000  1.173620  0.886191
4.850000  1.180299  0.892346
4.900000  1.186327  0.899063
4.950000  1.192314  0.905763
5.000000  1.197563  0.912998
5.050000  1.202772  0.920213
5.100000  1.207159  0.927925
5.150000  1.211510  0.935614
5.200000  1.214960  0.943757
5.250000  1.218376  0.951871
5.300000  1.220823  0.960386
5.350000  1.223242  0.968869
5.400000  1.224632  0.977689
5.450000  1.225998  0.986474
5.500000  1.226290  0.995525
5.550000  1.226564  1.004536
5.600000  1.225733  1.013732
5.650000  1.224892  1.022885
5.700000  1.222930  1.032135
5.750000  1.220965  1.041339
5.800000  1.217883  1.050543
5.850000  1.214805  1.059699
5.900000  1.210631  1.068753
5.950000  1.206469  1.077758
6.000000  1.201250  1.086555
6.050000  1.196051  1.095302
6.100000  1.189851  1.103734
6.150000  1.183680  1.112116
6.200000  1.176580  1.120076
6.250000  1.169516  1.127987
6.300000  1.161612  1.135373
6.350000  1.153749  1.142712
6.400000  1.145146  1.149428
6.450000  1.136590  1.156101
6.500000  1.127404  1.162061
6.550000  1.118269  1.167983
6.600000  1.108619  1.173112
6.650000  1.099023  1.178209
6.700000  1.089033  1.182445
6.750000  1.079099  1.186657
6.800000  1.068891  1.189955
6.850000  1.058739  1.193234
6.900000  1.048433  1.195562
6.950000  1.038181  1.197878
7.000000  1.027890  1.199221
7.050000  1.017651  1.200558
7.100000  1.007480  1.200916
7.150000  0.997359  1.201275
7.200000  0.987405  1.200662
7.250000  0.977499  1.200057
7.300000  0.967850  1.198502
7.350000  0.958244  1.196961
7.400000  0.948976  1.194503
7.450000  0.939747  1.192065
7.500000  0.930927  1.188757
7.550000  0.922141  1.185473
7.600000  0.913824  1.181373
7.650000  0.905537  1.177301
7.700000  0.897768  1.172476
7.750000  0.890026  1.167682
7.800000  0.882844  1.162203
7.850000  0.875684  1.156757
7.900000  0.869117  1.150699
7.950000  0.862569  1.144675
8.000000  0.856638  1.138114
8.050000  0.850722  1.131587
8.100000  0.845444  1.124600
8.150000  0.840177  1.117648
8.200000  0.835559  1.110310
8.250000  0.830951  1.103007
8.300000  0.827000  1.095393
8.350000  0.823055  1.087813
8.400000  0.819772  1.079994
8.450000  0.816494  1.072209
8.500000  0.813877  1.064254
8.550000  0.811262  1.056331
8.600000  0.809307  1.048304
8.650000  0.807352  1.040308
8.700000  0.806052  1.032271
8.750000  0.804752  1.024263
8.800000  0.804100  1.016272
8.850000  0.803446  1.008309
8.900000  0.803432  1.000417
8.950000  0.803415  0.992551
9.000000  0.804031  0.984808
9.050000  0.804641  0.977088
9.100000  0.805874  0.969537
9.150000  0.807102  0.962009
9.200000  0.808941  0.954692
9.250000  0.810773  0.947395
9.300000  0.813206  0.940350
9.350000  0.815631  0.933324
9.400000  0.818644  0.926584
9.450000  0.821649  0.919862
9.500000  0.825228  0.913459
9.550000  0.828799  0.907073
9.600000  0.832930  0.901036
9.650000  0.837052  0.895014
9.700000  0.841718  0.889368
9.750000  0.846374  0.883738
9.800000  0.851558  0.878507
9.850000  0.856731  0.873291
9.900000  0.862414  0.868498
9.950000  0.868084  0.863718
10.000000  0.874244  0.859383
10.050000  0.880391  0.855060
10.100000  0.887005  0.851201
10.150000  0.893604  0.847354
10.200000  0.900645  0.843989
10.250000  0.907671  0.840635
10.300000  0.915110  0.837779
10.350000  0.922533  0.834935
10.400000  0.930338  0.832605
10.450000  0.938125  0.830285
10.500000  0.946259  0.828495
10.550000  0.954374  0.826714
10.600000  0.962797  0.825478
10.650000  0.971199  0.824249
10.700000  0.979866  0.823578
10.750000  0.988510  0.822915
10.800000  0.997371  0.822822
10.850000  1.006207  0.822735
10.900000  1.015208  0.823230
10.950000  1.024181  0.823731
11.000000  1.033261  0.824824
11.050000  1.042311  0.825921
11.100000  1.051405  0.827620
11.150000  1.060467  0.829321
11.200000  1.069505  0.831631
11.250000  1.078509  0.833943
11.300000  1.087414  0.836869
11.350000  1.096284  0.839795
11.400000  1.104977  0.843338
11.450000  1.113633  0.846879
11.500000  1.122030  0.851036
11.550000  1.130387  0.855191
11.600000  1.138399  0.859957
11.650000  1.146370  0.864718
