   t     nR      nF
0.000000  0.800000  0.800000
0.050000  0.808000  0.798400
0.100000  0.816289  0.796934
0.150000  0.824577  0.795470
0.200000  0.833154  0.794143
0.250000  0.841730  0.792818
0.300000  0.850593  0.791634
0.350000  0.859455  0.790451
0.400000  0.868603  0.789412
0.450000  0.877749  0.788375
0.500000  0.887179  0.787484
0.550000  0.896606  0.786596
0.600000  0.906313  0.785858
0.650000  0.916017  0.785121
0.700000  0.925996  0.784539
0.750000  0.935972  0.783958
0.800000  0.946217  0.783535
0.850000  0.956458  0.783114
0.900000  0.966961  0.782853
0.950000  0.977460  0.782594
1.000000  0.988212  0.782500
1.050000  0.998958  0.782408
1.100000  1.009948  0.782484
1.150000  1.020932  0.782562
1.200000  1.032147  0.782812
1.250000  1.043356  0.783063
1.300000  1.054781  0.783491
1.350000  1.066200  0.783920
1.400000  1.077820  0.784528
1.450000  1.089432  0.785139
1.500000  1.101227  0.785933
1.550000  1.113014  0.786728
1.600000  1.124965  0.787711
1.650000  1.136906  0.788695
1.700000  1.148988  0.789871
1.750000  1.161060  0.791047
1.800000  1.173249  0.792419
1.850000  1.185426  0.793792
1.900000  1.197693  0.795362
1.950000  1.209948  0.796935
2.000000  1.222263  0.798709
2.050000  1.234565  0.800484
2.100000  1.246895  0.802464
2.150000  1.259210  0.804445
2.200000  1.271519  0.806634
2.250000  1.283813  0.808825
2.300000  1.296062  0.811226
2.350000  1.308296  0.813627
2.400000  1.320446  0.816242
2.450000  1.332578  0.818858
2.500000  1.344584  0.821689
2.550000  1.356572  0.824520
2.600000  1.368389  0.827569
2.650000  1.380187  0.830618
2.700000  1.391767  0.833885
2.750000  1.403327  0.837152
2.800000  1.414620  0.840638
2.850000  1.425892  0.844123
2.900000  1.436846  0.847828
2.950000  1.447779  0.851532
3.000000  1.458341  0.855454
3.050000  1.468881  0.859375
3.100000  1.478998  0.863513
3.150000  1.489091  0.867649
3.200000  1.498706  0.872000
3.250000  1.508298  0.876349
3.300000  1.517356  0.880909
3.350000  1.526391  0.885466
3.400000  1.534839  0.890231
3.450000  1.543262  0.894992
3.500000  1.551044  0.899955
3.550000  1.558803  0.904914
3.600000  1.565866  0.910068
3.650000  1.572907  0.915218
3.700000  1.579201  0.920555
3.750000  1.585474  0.925887
3.800000  1.590952  0.931397
3.850000  1.596409  0.936901
3.900000  1.601025  0.942572
3.950000  1.605622  0.948237
4.000000  1.609336  0.954058
4.050000  1.613033  0.959871
4.100000  1.615809  0.965826
4.150000  1.618570  0.971774
4.200000  1.620378  0.977849
4.250000  1.622172  0.983915
4.300000  1.622987  0.990092
4.350000  1.623791  0.996260
4.400000  1.623594  1.002521
4.450000  1.623389  1.008773
4.500000  1.622170  1.015098
4.550000  1.620945  1.021414
4.600000  1.618699  1.027783
4.650000  1.616450  1.034142
4.700000  1.613180  1.040533
4.750000  1.609911  1.046913
4.800000  1.605627  1.053304
4.850000  1.601348  1.059683
4.900000  1.596070  1.066048
4.950000  1.590799  1.072403
5.000000  1.584552  1.078720
5.050000  1.578315  1.085025
5.100000  1.571133  1.091270
5.150000  1.563963  1.097502
5.200000  1.555884  1.103649
5.250000  1.547820  1.109784
5.300000  1.538891  1.115808
5.350000  1.529980  1.121821
5.400000  1.520253  1.127699
5.450000  1.510546  1.133566
5.500000  1.500077  1.139273
5.550000  1.489631  1.144971
5.600000  1.478482  1.150486
5.650000  1.467357  1.155991
5.700000  1.455592  1.161291
5.750000  1.443854  1.166582
5.800000  1.431540  1.171647
5.850000  1.419254  1.176703
5.900000  1.406462  1.181513
5.950000  1.393697  1.186316
6.000000  1.380495  1.190854
6.050000  1.367321  1.195386
6.100000  1.353779  1.199636
6.150000  1.340266  1.203880
6.200000  1.326454  1.207829
6.250000  1.312670  1.211772
6.300000  1.298655  1.215407
6.350000  1.284668  1.219037
6.400000  1.270516  1.222347
6.450000  1.256392  1.225654
6.500000  1.242166  1.228632
6.550000  1.227966  1.231607
6.600000  1.213725  1.234247
6.650000  1.199509  1.236885
6.700000  1.185310  1.239183
6.750000  1.171135  1.241479
6.800000  1.157030  1.243432
6.850000  1.142947  1.245385
6.900000  1.128984  1.246993
6.950000  1.115041  1.248601
7.000000  1.101264  1.249865
7.050000  1.087505  1.251131
7.100000  1.073953  1.252055
7.150000  1.060418  1.252981
7.200000  1.047126  1.253569
7.250000  1.033851  1.254160
7.300000  1.020850  1.254418
7.350000  1.007864  1.254680
7.400000  0.995182  1.254615
7.450000  0.982512  1.254555
7.500000  0.970172  1.254177
7.550000  0.957842  1.253803
7.600000  0.945861  1.253119
7.650000  0.933891  1.252441
7.700000  0.922286  1.251463
7.750000  0.910690  1.250491
7.800000  0.899474  1.249230
7.850000  0.888265  1.247974
7.900000  0.877447  1.246441
7.950000  0.866635  1.244913
8.000000  0.856222  1.243120
8.050000  0.845814  1.241333
8.100000  0.835810  1.239293
8.150000  0.825810  1.237258
8.200000  0.816217  1.234982
8.250000  0.806627  1.232713
8.300000  0.797446  1.230215
8.350000  0.788267  1.227723
8.400000  0.779495  1.225016
8.450000  0.770725  1.222315
8.500000  0.762361  1.219411
8.550000  0.753997  1.216513
8.600000  0.746036  1.213426
8.650000  0.738075  1.210344
8.700000  0.730511  1.207085
8.750000  0.722947  1.203832
8.800000  0.715775  1.200415
8.850000  0.708602  1.197003
8.900000  0.701815  1.193439
8.950000  0.695027  1.189880
9.000000  0.688618  1.186181
9.050000  0.682208  1.182487
9.100000  0.676169  1.178665
9.150000  0.670128  1.174848
9.200000  0.664452  1.170914
9.250000  0.658773  1.166985
9.300000  0.653451  1.162950
9.350000  0.648127  1.158920
9.400000  0.643151  1.154794
9.450000  0.638173  1.150673
9.500000  0.633535  1.146467
9.550000  0.628896  1.142266
9.600000  0.624588  1.137989
9.650000  0.620279  1.133717
9.700000  0.616294  1.129379
9.750000  0.612307  1.125046
9.800000  0.608638  1.120656
9.850000  0.604966  1.116270
9.900000  0.601604  1.111837
9.950000  0.598240  1.107407
10.000000  0.595178  1.102938
10.050000  0.592115  1.098474
10.100000  0.589347  1.093977
10.150000  0.586578  1.089485
10.200000  0.584098  1.084969
10.250000  0.581617  1.080457
10.300000  0.579419  1.075928
10.350000  0.577219  1.071403
10.400000  0.575297  1.066869
10.450000  0.573374  1.062338
10.500000  0.571723  1.057804
10.550000  0.570071  1.053274
10.600000  0.568686  1.048748
10.650000  0.567300  1.044224
10.700000  0.566177  1.039711
10.750000  0.565053  1.035201
10.800000  0.564188  1.030706
10.850000  0.563322  1.026214
10.900000  0.562711  1.021743
10.950000  0.562100  1.017275
11.000000  0.561740  1.012834
11.050000  0.561380  1.008395
11.100000  0.561269  1.003988
11.150000  0.561157  0.999583
11.200000  0.561293  0.995215
11.250000  0.561427  0.990849
11.300000  0.561806  0.986524
11.350000  0.562185  0.982201
11.400000  0.562807  0.977923
11.450000  0.563428  0.973648
11.500000  0.564292  0.969422
11.550000  0.565154  0.965198
11.600000  0.566259  0.961028
11.650000  0.567362  0.956859
11.700000  0.568706  0.952748
11.750000  0.570050  0.948639
11.800000  0.571634  0.944591
11.850000  0.573218  0.940544
11.900000  0.575042  0.936563
11.950000  0.576866  0.932583
12.000000  0.578931  0.928670
12.050000  0.580996  0.924760
12.100000  0.583303  0.920921
12.150000  0.585609  0.917083
12.200000  0.588158  0.913320
12.250000  0.590707  0.909559
12.300000  0.593501  0.905875
12.350000  0.596294  0.902192
12.400000  0.599333  0.898590
12.450000  0.602372  0.894990
12.500000  0.605658  0.891473
12.550000  0.608945  0.887957
12.600000  0.612481  0.884528
12.650000  0.616017  0.881100
12.700000  0.619806  0.877762
12.750000  0.623594  0.874424
12.800000  0.627636  0.871179
12.850000  0.631679  0.867935
12.900000  0.635979  0.864785
12.950000  0.640278  0.861637
13.000000  0.644838  0.858586
13.050000  0.649397  0.855537
13.100000  0.654219  0.852587
13.150000  0.659041  0.849639
13.200000  0.664129  0.846793
13.250000  0.669216  0.843949
13.300000  0.674572  0.841210
13.350000  0.679928  0.838472
13.400000  0.685554  0.835843
13.450000  0.691181  0.833214
13.500000  0.697082  0.830696
13.550000  0.702983  0.828180
13.600000  0.709161  0.825777
13.650000  0.715339  0.823375
13.700000  0.721796  0.821089
13.750000  0.728253  0.818805
13.800000  0.734991  0.816639
13.850000  0.741730  0.814475
13.900000  0.748752  0.812432
13.950000  0.755774  0.810391
14.000000  0.763082  0.808473
14.050000  0.770390  0.806558
14.100000  0.777985  0.804769
14.150000  0.785579  0.802983
14.200000  0.793462  0.801326
14.250000  0.801344  0.799671
14.300000  0.809516  0.798149
14.350000  0.817686  0.796628
14.400000  0.826145  0.795244
14.450000  0.834603  0.793861
14.500000  0.843349  0.792618
14.550000  0.852094  0.791376
14.600000  0.861126  0.790277
14.650000  0.870156  0.789180
14.700000  0.879471  0.788228
14.750000  0.888783  0.787278
14.800000  0.898377  0.786476
14.850000  0.907968  0.785677
14.900000  0.917837  0.785030
14.950000  0.927702  0.784385
15.000000  0.937840  0.783896
15.050000  0.947973  0.783409
15.100000  0.958372  0.783081
15.150000  0.968766  0.782755
15.200000  0.979418  0.782592
15.250000  0.990064  0.782431
15.300000  1.000959  0.782437
15.350000  1.011847  0.782444
