   t     nR      nF
0.000000  1.161123  1.200000
0.050000  1.149512  1.203867
0.100000  1.137689  1.207200
0.150000  1.125902  1.210524
0.200000  1.113986  1.213296
0.250000  1.102105  1.216062
0.300000  1.090173  1.218263
0.350000  1.078276  1.220460
0.400000  1.066402  1.222084
0.450000  1.054560  1.223707
0.500000  1.042811  1.224755
0.550000  1.031092  1.225803
0.600000  1.019528  1.226279
0.650000  1.007993  1.226758
0.700000  0.996671  1.226671
0.750000  0.985375  1.226590
0.800000  0.974343  1.225954
0.850000  0.963336  1.225325
0.900000  0.952637  1.224157
0.950000  0.941960  1.222997
1.000000  0.931632  1.221317
1.050000  0.921322  1.219647
1.100000  0.911395  1.217479
1.150000  0.901485  1.215322
1.200000  0.891984  1.212690
1.250000  0.882498  1.210070
1.300000  0.873446  1.207003
1.350000  0.864405  1.203948
1.400000  0.855816  1.200473
1.450000  0.847238  1.197011
1.500000  0.839125  1.193158
1.550000  0.831020  1.189319
1.600000  0.823392  1.185119
1.650000  0.815771  1.180933
1.700000  0.808632  1.176417
1.750000  0.801499  1.171914
1.800000  0.794853  1.167112
1.850000  0.788211  1.162323
1.900000  0.782058  1.157265
1.950000  0.775909  1.152221
2.000000  0.770247  1.146937
2.050000  0.764589  1.141667
2.100000  0.759416  1.136187
2.150000  0.754245  1.130720
2.200000  0.749556  1.125071
2.250000  0.744869  1.119436
2.300000  0.740660  1.113647
2.350000  0.736451  1.107871
2.400000  0.732716  1.101968
2.450000  0.728980  1.096077
2.500000  0.725712  1.090086
2.550000  0.722443  1.084106
2.600000  0.719636  1.078050
2.650000  0.716827  1.072005
2.700000  0.714474  1.065907
2.750000  0.712120  1.059820
2.800000  0.710214  1.053703
2.850000  0.708307  1.047596
2.900000  0.706843  1.041480
2.950000  0.705377  1.035374
3.000000  0.704348  1.029278
3.050000  0.703317  1.023192
3.100000  0.702717  1.017136
3.150000  0.702115  1.011088
3.200000  0.701938  1.005088
3.250000  0.701759  0.999097
3.300000  0.702001  0.993169
3.350000  0.702241  0.987250
3.400000  0.702897  0.981411
3.450000  0.703550  0.975579
3.500000  0.704615  0.969843
3.550000  0.705677  0.964113
3.600000  0.707147  0.958492
3.650000  0.708615  0.952878
3.700000  0.710487  0.947386
3.750000  0.712356  0.941900
3.800000  0.714625  0.936549
3.850000  0.716892  0.931203
3.900000  0.719557  0.926003
3.950000  0.722219  0.920810
4.000000  0.725277  0.915772
4.050000  0.728331  0.910740
4.100000  0.731778  0.905875
4.150000  0.735221  0.901016
4.200000  0.739055  0.896333
4.250000  0.742886  0.891655
4.300000  0.747104  0.887162
4.350000  0.751319  0.882675
4.400000  0.755919  0.878382
4.450000  0.760515  0.874094
4.500000  0.765494  0.870009
4.550000  0.770469  0.865928
4.600000  0.775824  0.862059
4.650000  0.781175  0.858193
4.700000  0.786901  0.854547
4.750000  0.792624  0.850905
4.800000  0.798719  0.847488
4.850000  0.804810  0.844077
4.900000  0.811268  0.840898
4.950000  0.817722  0.837724
5.000000  0.824538  0.834790
5.050000  0.831349  0.831861
5.100000  0.838516  0.829179
5.150000  0.845678  0.826501
5.200000  0.853188  0.824077
5.250000  0.860693  0.821657
5.300000  0.868538  0.819498
5.350000  0.876377  0.817343
5.400000  0.884546  0.815456
5.450000  0.892708  0.813573
5.500000  0.901188  0.811965
5.550000  0.909661  0.810360
5.600000  0.918439  0.809037
5.650000  0.927208  0.807717
5.700000  0.936268  0.806685
5.750000  0.945317  0.805656
5.800000  0.954639  0.804923
5.850000  0.963951  0.804192
5.900000  0.973514  0.803763
5.950000  0.983066  0.803337
6.000000  0.992847  0.803219
6.050000  1.002616  0.803104
6.100000  1.012589  0.803303
6.150000  1.022547  0.803505
6.200000  1.032681  0.804027
6.250000  1.042800  0.804553
6.300000  1.053062  0.805405
6.350000  1.063308  0.806260
6.400000  1.073663  0.807447
6.450000  1.084000  0.808636
6.500000  1.094407  0.810164
6.550000  1.104795  0.811693
6.600000  1.115211  0.813566
6.650000  1.125606  0.815441
6.700000  1.135985  0.817663
6.750000  1.146342  0.819887
6.800000  1.156632  0.822462
6.850000  1.166899  0.825039
6.900000  1.177048  0.827970
6.950000  1.187173  0.830902
7.000000  1.197123  0.834191
7.050000  1.207048  0.837480
7.100000  1.216740  0.841127
7.150000  1.226405  0.844773
7.200000  1.235777  0.848778
7.250000  1.245121  0.852780
7.300000  1.254108  0.857139
7.350000  1.263066  0.861495
7.400000  1.271602  0.866204
7.450000  1.280109  0.870909
7.500000  1.288127  0.875962
7.550000  1.296116  0.881010
7.600000  1.303549  0.886397
7.650000  1.310954  0.891779
7.700000  1.317737  0.897489
7.750000  1.324491  0.903193
7.800000  1.330559  0.909213
7.850000  1.336599  0.915223
7.900000  1.341890  0.921535
7.950000  1.347155  0.927836
8.000000  1.351612  0.934419
8.050000  1.356044  0.940990
8.100000  1.359613  0.947820
8.150000  1.363161  0.954637
8.200000  1.365797  0.961688
8.250000  1.368413  0.968724
8.300000  1.370077  0.975964
8.350000  1.371724  0.983187
8.400000  1.372383  0.990583
8.450000  1.373030  0.997960
8.500000  1.372663  1.005473
8.550000  1.372288  1.012967
8.600000  1.370884  1.020558
8.650000  1.369475  1.028128
8.700000  1.367032  1.035753
