-2.000000e+00 8.380536e-01 8.383596e-01
-1.862069e+00 7.343385e-01 7.345173e-01
-1.724138e+00 6.445941e-01 6.446712e-01
-1.586207e+00 5.671130e-01 5.671095e-01
-1.448276e+00 5.004213e-01 5.003541e-01
-1.310345e+00 4.432501e-01 4.431330e-01
-1.172414e+00 3.945117e-01 3.943559e-01
-1.034483e+00 3.532789e-01 3.530934e-01
-8.965517e-01 3.187672e-01 3.185590e-01
-7.586207e-01 2.903200e-01 2.900949e-01
-6.206897e-01 2.673962e-01 2.671585e-01
-4.827586e-01 2.495596e-01 2.493129e-01
-3.448276e-01 2.364708e-01 2.362180e-01
-2.068966e-01 2.278809e-01 2.276243e-01
-6.896552e-02 2.236264e-01 2.233680e-01
6.896552e-02 2.236264e-01 2.233680e-01
2.068966e-01 2.278809e-01 2.276243e-01
3.448276e-01 2.364708e-01 2.362180e-01
4.827586e-01 2.495596e-01 2.493129e-01
6.206897e-01 2.673962e-01 2.671585e-01
7.586207e-01 2.903200e-01 2.900949e-01
8.965517e-01 3.187672e-01 3.185590e-01
1.034483e+00 3.532789e-01 3.530934e-01
1.172414e+00 3.945117e-01 3.943559e-01
1.310345e+00 4.432501e-01 4.431330e-01
1.448276e+00 5.004213e-01 5.003541e-01
1.586207e+00 5.671130e-01 5.671095e-01
1.724138e+00 6.445941e-01 6.446712e-01
1.862069e+00 7.343385e-01 7.345173e-01
2.000000e+00 8.380536e-01 8.383596e-01
