-5.000000e-01 7.070193e-01
-4.743590e-01 6.993542e-01
-4.487179e-01 6.913530e-01
-4.230769e-01 6.829807e-01
-3.974359e-01 6.741956e-01
-3.717949e-01 6.649487e-01
-3.461538e-01 6.551812e-01
-3.205128e-01 6.448215e-01
-2.948718e-01 6.337815e-01
-2.692308e-01 6.219509e-01
-2.435897e-01 6.091883e-01
-2.179487e-01 5.953089e-01
-1.923077e-01 5.800628e-01
-1.666667e-01 5.631003e-01
-1.410256e-01 5.439074e-01
-1.153846e-01 5.216783e-01
-8.974359e-02 4.950275e-01
-6.410256e-02 4.611996e-01
-3.846154e-02 4.130146e-01
-1.282051e-02 3.097609e-01
1.282051e-02 3.097609e-01
3.846154e-02 4.130146e-01
6.410256e-02 4.611996e-01
8.974359e-02 4.950275e-01
1.153846e-01 5.216783e-01
1.410256e-01 5.439074e-01
1.666667e-01 5.631003e-01
1.923077e-01 5.800628e-01
2.179487e-01 5.953089e-01
2.435897e-01 6.091883e-01
2.692308e-01 6.219509e-01
2.948718e-01 6.337815e-01
3.205128e-01 6.448215e-01
3.461538e-01 6.551812e-01
3.717949e-01 6.649487e-01
3.974359e-01 6.741956e-01
4.230769e-01 6.829807e-01
4.487179e-01 6.913530e-01
4.743590e-01 6.993542e-01
5.000000e-01 7.070193e-01
